b6a1, 6138
2059, f095
5715, d97d
0b9c, 4c7c
b311, af09
36bb, 5dd2
299d, f839
baf6, c962
9d37, e4b8
a2ba, f9bd
6d60, 8302
8d02, 9c3c
f757, 1ded
3503, 1430
fd9d, c2c2
188f, b385
4fa9, 420d
bfdb, 1c26
6440, 62d1
9c27, c270
9e01, 87d0
f25b, 6e11
ac98, b40c
a944, f31e
01e9, d106
dd14, 1f69
8974, 9450
27a5, 03f2
280b, 0952
d41e, d8a2
145a, bc7b
7f92, 0b78
582e, df78
2d3a, 0b62
10f0, d09e
73af, 7ed1
199a, ff5a
1e6a, d0d6
a384, b030
3c25, 122e
2009, 776c
d7e3, 4231
d112, 6c95
8bda, 6c23
22c3, 95d9
f3ad, 24ed
04ce, 18cd
353a, 01ed
fffb, a27b
a2a2, 381f
183f, 14d4
e5ac, 28e2
0a6b, 8deb
d4d1, 5a29
43c4, a205
ff23, fa5d
4cab, 34df
5aff, cd82
b40e, 5888
460e, 070f
0e26, 295d
0e01, 8e94
8292, 2800
677d, 2b9d
7c64, 5278
04ce, 18cd
d206, d44e
5379, 0ae5
00f8, a501
95be, 4a73
e812, 8b90
115b, 5225
1bac, 5ef7
bd8c, 1eaf
4aa3, 8435
5ae5, de1e
f32e, 3922
f203, 5a2a
24b2, e1b7
d787, 59c0
1156, cba1
3f6c, d4cc
d721, e6b4
f5b2, 6e12
779c, 2888
e94a, df54
e89b, 9f85
f615, 5c8a
377e, e876
b708, e111
0459, b838
a9c5, a47f
a26e, 21bc
76eb, 26ee
7fe8, 1d19
6425, 363a
2f72, 2213
3dcf, ace7
00e7, a3b6
f77e, 82f3
5fe8, 4579
f1f8, 01b8
e568, 94d8
8264, 8513
8949, 62e3
ef1c, 2ca2
8aef, c7b8
b77d, e523
8e3d, 7769
7bbb, 2c1c
d1e2, ae37
e612, 0cab
be6a, 6d9b
0d63, 19ef
9ee9, 8dcc
e7ec, e7fe
3c4b, 2ef0
5cdd, 834e
df28, 6f28
40d7, b552
13e0, c47b
83e2, c0bb
6d8f, 3f1f
9e55, 502b
af95, a995
155a, 4bc9
91ba, 4232
1440, ac45
4630, 2b0c
8d0a, 0562
0fa9, b90e
f091, 31f4
61ff, f049
cffb, 1ffb
6362, 2cd2
ab8d, c8e5
26f9, f1f2
3203, 9c1a
811f, 65b7
1806, 2c2d
5dcd, b4ea
66df, 5431
8f1e, 58b8
bcf7, d9a0
e1f4, 04df
f860, 89dd
a9ed, 3d3f
b71a, d9a9
a943, bb1a
2db9, 9da5
bfbb, ce4d
f4e8, 35e7
e3b1, 2b5f
a659, bb2e
fb08, 8e39
1ccf, 2951
964d, b6bd
7e83, ec41
aa25, d9fd
ae56, 3c0d
a67c, 1b9d
e4c5, 512c
3504, 7864
620c, dbdf
6b94, de1b
39c5, 54b2
d6bd, 7f15
94d1, ee4c
8023, 0736
c4e9, 45c3
cc63, c264
f69c, 3627
be8e, cfa7
7d6c, 8aa9
8931, c3d3
7fcd, 89cd
f691, a6f6
0dec, d0cc
2f82, 3bb5
3a7f, ec38
0c47, 222e
f0ac, b129
0079, 7ce7
1579, 1f35
7830, 7d84
209d, 9275
34f4, baaf
6064, 41a8
c31c, 1e11
6fa1, efba
bef9, 8379
c28c, d5b1
edb2, 54a9
8bd5, 51b2
abae, 3f3d
32a3, f845
c689, 30ef
f82b, 0359
b837, 2398
afb3, 674b
cfd8, f5b4
6b7a, d161
95b2, dca7
a086, f6a4
0942, 5381
a3e0, 3d67
7ffb, 21c6
68cd, 0f3c
b3ad, 0e42
0048, cd91
ebbf, 9a8c
a9d5, 29af
1345, 543d
115e, 5f31
0aeb, bee7
b12a, 1504
d260, 4ccc
b336, dda2
58b6, 9c55
2756, a0ea
b674, 3916
6a03, de9f
c673, faf1
bdee, 05e3
7374, d327
f397, 6681
0944, 45f4
2cb9, dea4
be36, 9999
e3f0, 905a
3b38, aacc
9344, 0edd
0ea0, eff1
dedf, c8f1
5c8f, 67d6
13ee, 8b4f
951d, 5134
eb9c, 3571
3f03, faba
6520, d441
43cf, 8267
5d76, 464b
244d, fa31
434f, 2bf8
e101, 2271
6633, bded
3e11, 7426
e7ae, 35d4
c546, c0df
c9dc, 2384
2071, 0685
a48c, 9447
5abb, cd7f
0beb, a6f1
28cb, 40a5
1e72, 324c
cf43, 9696
52ae, ef82
b3d6, c1e7
4abb, ab2c
adcc, 4ea4
b260, 8a29
ae78, ea55
648f, 3c11
8cff, 96f9
02d7, 3518
a5f9, 4299
145e, 6fb0
20b7, d6a6
4259, ff4b
4eb9, 82bf
46f4, 47e1
9a0b, 0b6e
f294, b524
92e9, 0a9a
4621, 98e3
440d, f4fe
c7dc, 0f11
10ab, 5b8f
625a, d5ce
8b92, fea0
274f, f7e7
3de9, ae04
5d52, 4627
e504, c45f
aba9, d207
7ba8, 7fd0
2152, 750e
2274, 3391
aab2, 4924
23e4, b2e3
d47a, 0c7d
76cc, b927
e588, 3287
e671, 67cb
ed55, 21d2
e4c7, 3c5f
d8aa, d74b
f890, 0578
84f6, 3ccb
e5e9, faef
df48, c1e0
fde5, 998d
c132, ffe6
1407, f7c7
dcc4, 96cf
3f2d, bb5d
79d4, 8c24
32ce, 8980
1b07, 8e31
0735, b191
3fee, 0c63
ee9e, 637d
b8c3, 3713
2635, 9c0b
846f, d269
5fe9, 16e1
7cf6, 810a
9598, a533
6b6f, bd01
a90e, 3de0
4afc, 1a5e
8ce6, f094
a969, f2d9
9131, f402
5918, cd4d
0040, 9fa5
a6ba, 1b73
c031, 2bbf
05f7, edd1
636e, a32d
64d1, e231
60f9, dbff
174d, 494e
8f91, c6c7
0de3, c7d0
b053, 0edb
d652, b6da
18d9, 2def
409d, d4da
4ef1, 4850
c45e, 794f
97bc, 227c
b569, f525
c7f6, 197d
fb9d, b48d
3aa3, e30a
43f3, fce1
8799, 7dbf
d0d3, fa7f
326f, ccca
a27d, 3c97
5cb4, a015
f83e, 6376
5d74, 23f4
a7ff, 101f
bad4, 59dd
2d08, 7636
4185, 3ecd
87d1, 1fc3
62f3, ee42
0ee6, ebae
99ab, 7745
8e77, dfe8
9dc2, fcea
c89f, 4fbc
5169, da6a
3968, 8867
3e6a, b9ef
78d1, 6820
6141, a6fd
7429, 8ab0
12dc, 513d
59da, 4156
6f24, 0912
c95c, 1bc5
ba52, 21ff
efc5, f85b
de38, 5804
dfbe, 71fe
fbdf, 69c8
8148, 138a
abaf, fab4
b71c, 274b
d3f6, bb74
ed82, abf3
53fa, aa12
49d6, a50f
3a7d, fab3
4db4, b4bc
1c90, 74a9
f003, af36
84c0, 9ac2
6ba7, c6fe
859e, 3f1a
ca0f, 1c92
7326, 45c7
874b, 8ed3
14ea, e0a5
6f99, 2cc1
7b97, 3633
8c15, 81ab
8551, 0dc7
f851, 000f
caa7, 951b
d418, d76e
1e27, 8071
5c65, 5bec
b3d6, c1e7
229f, 5907
0e23, 70a2
93ea, 88de
9ec3, ba50
1608, 0297
e7de, 86de
79b5, 4b8a
19d5, c504
7ec6, 4574
3a7e, 2027
f35a, 0ce9
e8bc, fa6a
6358, 8ec9
712d, d1c1
4e49, 7d41
ddad, 4cbc
3338, e6d8
bf24, 441f
ad88, c192
af09, b311
8af1, a3ff
a06c, ac97
51cd, dff5
5aca, 8eac
f0ad, c221
485d, 4015
6046, b215
f527, 1faa
c558, 1527
dbdf, 620c
d37f, 6a85
a666, 241f
5637, 3860
6591, 30fc
e4b9, 31c8
a6b6, 2f5d
f8da, 99e4
a706, 8fef
3d8a, 3973
07b0, 312d
afa9, fc73
4a78, 1a57
191f, ef37
ef43, 35eb
980f, 1791
4521, 500f
12e9, 72d9
6926, 47ed
1ccb, 2d8c
4a57, d542
b49f, 9ee3
9820, f001
4bf8, 6f08
fa00, 1b2c
1e5b, df03
8bc7, e187
9c2b, cde1
da34, 5c08
1fa8, 5fff
21fd, 1d8e
4144, 0e13
4efb, 6e1f
d46b, bc22
289f, 9b5d
0b94, 6e22
b797, 8cb0
043a, 26cd
bd9d, 419c
4f9f, 04f8
bc0d, b1f7
a4eb, 13dd
8f47, 7071
076e, f3b3
b17f, ada8
dbc7, 3671
4978, 6187
1e60, 15a0
8014, dd6a
a4da, 4b52
0d8b, efcf
6d84, 3dd7
4ce0, cc2e
66da, 05a9
b382, 5303
2b3f, 54fd
bce1, 6317
bb72, 7379
45fe, 5912
6f36, d1b3
4250, 18d6
e061, d1fc
9e3c, 4cc8
be90, 0cb7
c166, baad
2f74, ed43
f1e4, fc52
351f, ec18
c24c, 14ff
069a, f0f3
5ada, 2da6
db24, c947
053f, fe83
071e, bf40
dce4, 4293
1f90, 1f9b
e9eb, b172
5cf6, c468
2906, b487
5bc3, 102c
7f72, 3734
7cca, 0ea9
6287, f43f
5077, bf0f
be74, b555
9c6d, b337
ca3e, b505
a637, 9c86
cd1a, db08
a77d, 4f93
0dae, 11d5
2cae, bbd8
86a7, 1ef9
6b1c, b057
014c, 1feb
e8ea, 3b39
3c07, 6cf2
f20d, 6dc5
0129, bd3b
d81c, 3382
cbef, e24f
29e2, 05c0
24dc, 25c4
8411, 3206
3634, afc1
a543, 099c
8b2f, 6218
5983, 8556
6c2d, ee1c
8d3c, 7f49
f8f3, 9b18
8f33, be2c
c2a8, c973
9992, 9972
8ec0, 5879
a945, e760
62e3, 8949
9f11, 58ea
89f0, 8a39
6c78, b5b5
c93f, 1c61
b5a2, 40b1
c67c, a5cc
54ec, 4326
a9d2, 8ac9
96a9, c3f3
a5f3, 62d6
ebfe, a655
4501, b59a
fc11, 844a
e790, d226
ba36, 9d3a
c07e, 4604
5c72, c915
0be8, 41fc
9579, 0fd9
2a6b, afc0
82a7, d2e9
57ed, ca1a
c361, 3dc5
b5ab, 1cbd
31b0, 636a
3442, 00ed
361a, ed14
6c72, 3c3b
1261, e064
1008, 7ee0
fe44, a1d9
962f, 4d9a
4350, 2b32
99ac, a314
a560, 313d
2f64, 0b1b
e713, dae4
f5f3, 116e
a8e5, 02a7
a97f, b6ba
4187, 643d
48fe, 0156
44d8, a427
6385, 391c
2b24, 3440
75e9, 18b8
8c15, 81ab
47ef, 71d9
ad27, 09ac
499a, e2bc
40fa, 5ff1
8517, bfa5
9f3f, 89db
7486, b6fd
d664, af38
be8d, 6b8d
3569, bd67
d336, eb20
32ac, f999
b52e, 9405
aecc, f03d
de2d, 8ba8
5953, 5afc
87c6, 530a
bda6, bc7f
8bec, 9958
5d95, 9879
8498, 066b
8a40, 7aa0
2d08, 7636
6e9a, e57e
ad6a, 0f80
9883, 10b0
24f8, dc0d
2ab2, a306
fe0e, b863
9d9a, c1eb
e251, fc5a
cf38, 63c3
0593, 882a
637c, 6008
fa52, 3a89
5b7f, 06a7
e9bb, 67ea
921f, 158d
82ba, 99b0
02d3, 0988
91b3, bd5e
7849, 5b35
3e04, 7db9
5a60, fc0c
11aa, 29ca
567c, 3fd3
c5d7, f5d7
e716, 4119
2c50, cb19
7425, b3dc
dea8, 283a
083e, b8e3
a147, 8a9e
511c, 2fa1
b90a, 54df
9c2e, 1213
c3ba, b1b1
20a5, e747
437f, abe2
451e, 4d33
e7f9, 5c90
773a, debf
ed37, f006
ca57, 9468
9414, 4db1
cc9c, ee2a
9755, b755
ab6f, df44
8107, da9e
efea, 1be8
0f9b, be49
2c9f, 1d18
2020, 3e1b
25d9, 16f6
fefe, 647f
35d1, b14c
9aa3, 84cd
ec08, c10d
76c6, c6d7
38b3, 065a
d0fb, 3a15
d687, 98bd
b3ae, b4e4
3633, 7b97
cdeb, fb20
1c8f, 9b3e
811c, 8a41
d3c6, d0ea
7f55, c478
0b22, 1e6e
014d, 9cd4
8b4b, 5335
fa3a, b416
1383, d04e
f94e, 9943
7340, 40a0
0ba8, c02f
ee52, 7542
a67a, c53e
71d7, 844d
1413, aa0d
8023, 0736
c8a6, 7f12
8a6d, 888f
3a56, 0537
8e6e, 9a09
329e, 82e6
ec6c, 53de
03e2, b3ed
0b37, 5ed2
8180, 5b75
611b, 34e5
a838, 4bdc
9de4, 3a2e
a332, 130a
3c64, 8f5a
6f30, b39d
fecf, 24da
97d9, 79d7
6349, 1ca2
01ff, a837
0d29, cf5a
e413, 40dd
1dc2, fb50
e7ad, 8641
4f95, a9f5
1211, 6f7e
7a24, 1fa6
5920, d7b4
c719, 1b97
9fbd, 04be
fc9d, 08ad
82fd, 5649
be52, f019
1562, fc9c
8231, 1209
0124, cbd3
3724, 37da
ff93, 0091
3aef, 6828
6195, 1cd5
200b, 6fa9
99c8, e5aa
29f4, 3d13
7e39, 77c5
4465, b99a
3f4e, 394b
7e8d, 9e16
04d0, 831a
261d, be43
96d4, 8c2d
ce44, 50fb
90b5, 727c
8a4f, 71c8
482f, 36ea
34da, fcc8
308e, 8a23
cb54, 19d6
7b35, 5d9a
04c6, d3db
350b, 165d
9f0d, a50a
0d72, 00f1
a325, 2263
8f8a, 3b3c
37d9, 4607
d63b, d02e
4fda, 6f7c
a273, e746
8f71, 291e
a45e, 7ede
983b, f98e
ee04, c4fe
5fe7, b7e0
198c, 19fe
fd0d, 2249
327d, 8efe
006a, f04a
ec1f, d56f
1284, 4c11
a275, a653
c9a3, ab46
64e1, ea8a
de8e, 8dd2
ca29, 0074
a1a8, 8280
420b, 6d53
bd72, 50ab
baf0, 557e
c02b, bdba
f7c6, 96c3
1a21, 5695
edaf, d315
9442, fe08
0889, 1efe
4512, 041a
0924, 4ed1
eefb, 579a
0d29, cf5a
948a, 6c0b
6e0e, 2a8e
49ac, 3300
1d2d, 6458
b727, 6969
1a1f, f370
2113, d790
f577, ded1
8c5d, 4234
cffc, d738
1a63, b9f3
9add, f7b6
d21b, 0fd5
f0b2, d1e0
e5d4, 0923
2a52, 0971
50b8, 8cdd
6095, 10e5
438f, 7711
9c11, 83e4
5c63, 0244
d003, 7653
b810, 9311
b839, 813b
0328, c39f
9e85, 8430
0740, f93f
d21d, 504f
f685, 5fc3
154f, 61c5
73b7, f0b3
242f, 6adc
5cac, 2743
23f4, 5d74
2afc, 4773
90c3, 46dc
8d3d, 3e36
0931, d9b9
db04, 7b1a
9500, 978c
c28e, 4b28
a69b, 7868
978f, 1612
3890, 0e1c
81a7, 0986
49bb, b263
3f23, 60be
1ce0, 6893
537f, fcf0
a429, a11e
86df, 0022
d641, 9d72
3b26, 697f
6014, 378d
5edc, c5c6
0ceb, 53f6
7ebf, 24e2
aeb3, e74a
4f7c, b37c
50fe, 2a90
4ff1, 0d66
c81d, 3339
1b82, d273
f31c, 3c5a
a4ba, 7981
011e, 7abf
947f, 78b3
cffd, ea6d
566c, 0334
efeb, 2b43
8aa9, 7d6c
608b, d08b
28e1, ddf9
6337, 684b
9c96, d875
8ac3, 56aa
fa6b, 5fa8
1275, 1272
ef05, 8d62
0fe5, 3b7c
3bf5, 848f
51c1, dff9
fbd2, 3a8a
113f, 0ddb
4e11, a3e9
da05, febd
b538, 3c45
9003, 9fd8
edcd, e343
0348, b440
e38c, cc2a
2104, 878a
66d3, 4c3b
9812, d74a
a83d, 1654
1570, f167
0b45, 8bab
2311, 6b89
695c, 6472
eea8, 5d16
8936, 36ca
7b88, 26d6
c9c8, 10b3
a015, 5cb4
a5a2, e89c
f81a, 0792
523a, d0cf
dd56, 7223
9d2d, 8a51
c9ce, 471d
e683, 0901
4a72, 0c4c
e22b, 36d0
6e8c, df7f
52d4, 7f43
ca54, 7a27
0269, 7af9
2213, 2f72
98f4, b2be
feca, b50b
210f, 5d77
f126, be2d
e907, b288
631b, bc3c
fb82, 7574
39b5, 215f
530e, f69b
e887, 3878
e23c, 35f4
e4a6, 2fa2
2813, 594e
9ac3, fc4d
125c, 2025
878d, cab0
a534, 4b1f
a507, b2ff
4ee6, 362f
2f21, 6fa8
07f1, 6126
3683, 72e7
4c10, 2341
bdd5, 28f1
8e87, 9281
f589, 296c
3d9b, fdb6
743d, 84e5
0e90, 5385
d650, 7563
3a68, d283
5d3f, ba6e
f1d6, cf52
77bc, 2fa5
3a9b, b9c2
ae17, 8862
63ed, 6bf4
25ba, 5e9a
188d, 6607
8423, 18c1
bd98, acea
b872, f882
76ac, 5ec9
f54a, 14b9
50f4, 85a9
e4d2, cf62
94b4, 0747
14a4, 08e6
fec9, 0310
c8a1, b946
21b8, 27d9
3d74, be64
1994, 01c6
4edb, 08c5
a81e, c47c
ecd0, f34d
ea0d, a431
72e4, 79c7
9e79, 4ddf
5511, 2bac
1c31, c13c
3dda, 5941
3484, ce1c
3e43, a77a
cf8e, eec8
2f84, a9d4
78a8, 3fa1
df5e, d119
6301, 9949
f2d5, 0e3c
b91a, 78f6
cd3b, 89e5
26ca, dbf7
6e8d, 6833
a0f6, 79fe
5c40, 26a8
2ae5, 3af3
69b7, 243a
0fa0, ae46
df6d, ec7e
a646, 2d56
1493, dd7c
3b06, da17
783f, 3263
6df1, 9840
c18f, 212e
ee03, 4027
0ffe, 97bf
ae42, 71e0
802a, 7299
ca62, 3f7e
c4a7, 8ef3
0ed3, c0cb
d177, bf9b
687d, 3c5b
4dd8, a527
1f9e, e63a
2228, cc2d
eec7, 001a
1f16, 4204
36be, f6ee
1ef8, 5064
8157, 6915
8103, 4d38
4309, f8d5
6e58, 100f
f068, 716c
9e54, 472b
ff87, f341
ee21, f25c
48bd, e734
44be, 8079
798f, b74b
3977, d9f0
6c4d, bedf
d72a, d44c
cce8, 6a1b
cd1e, c0e4
c839, 1ada
038d, c8a7
7920, e9c5
a01c, 6e5a
4a14, 6db9
8f02, 346d
f4ab, f4a0
199c, 90b9
9f69, f6ce
940c, c82a
9ea7, f87c
302f, b133
c518, 9c9a
9bdb, e30d
d90d, a24a
474b, 96bd
09bb, ae6f
0d30, 9699
1887, c878
6609, a4c4
ce13, ad8b
f31f, 0ef0
9fb7, 4c4e
34e6, c80c
2803, 0c7f
af51, 9e7a
dcad, 5175
1c7c, 1bde
54f4, 8b76
4b8c, 23c9
a6d7, 4228
ccdb, fb61
8ba3, 901d
9e7f, 082c
e0b3, dd8d
b592, ab27
d2bd, 56b5
fef0, 1838
b3b1, f45c
cc6d, 0fb9
6d34, 2234
e5fb, 00d4
c3f2, 508a
c561, 1fd8
5a3e, b12f
0890, fadc
d8a8, 5ff5
2ebc, a0b2
d40d, 6005
e81a, 7a02
ed9f, 4ad0
0638, 78af
cca8, 392c
6201, 97fd
34cf, 0f0b
44d6, 8fed
f1bc, 65a1
4d90, d9df
5cff, 2e90
7057, 70c1
40e6, c6c2
6a9a, 4e9a
6368, 1d80
232b, 3ab5
aef4, 92bc
789e, 022e
65bd, e1f6
af0c, f2dd
cae6, 1de4
1491, 6763
44e9, 11e7
1e03, db6d
1a9c, 15b0
e5e8, 17e7
f6bc, 763f
acb5, 2467
4afd, e9a3
b161, bea6
606d, dcd6
f4ce, 941e
a8b0, a70b
d67c, 9982
07bd, 8002
e584, cfaa
26fe, e6ea
8f07, 2ace
cd21, 8aca
b66b, 4555
894b, bc8e
17f5, c7f2
e937, 546c
6845, 16cf
67dd, d899
c168, 0a6f
55c2, 2e7b
0f5c, 9d56
5459, da61
15ce, 4e85
a350, ca44
20e5, 3718
bade, 0463
fa2b, 2eb4
f715, 2d8b
9ab8, 613d
2820, bdb6
5fd4, 55c4
9e8a, 404f
9184, a898
b8bd, 209f
ca4c, 8c93
9298, ef87
ce5c, bc68
592c, 24dd
18cc, 0f25
6c95, d112
3a4c, 62a6
e0d1, 95ad
238c, d3ed
ed7b, 4b31
5d50, b814
1878, 1877
7df5, 6876
9bb7, 15da
3a1a, 4bc4
ff90, 25f7
4cd5, 3195
89e0, 97b2
abc9, f35e
a097, fb7e
3d3c, a767
5e19, 4858
e081, f962
f9d7, cf49
8e73, 9d7d
3fca, f017
8adc, 6e6b
7056, 5429
2b2e, c5e8
ba7f, 0716
48b4, ab7a
9fc8, cc03
24cb, 2d1f
c00f, fb91
1429, 7c21
c9d2, 3fc0
11b4, ccee
00a6, 5e63
4d2e, 5ee6
2ff8, ae5f
1f29, cf5f
9372, f994
5289, 54a5
a36c, a83b
7fc0, 5015
cce6, 1b1a
3e08, a79c
6082, 651c
ce63, ec6d
543a, 36c9
b647, 2278
89f6, a42d
a21b, 3784
238b, 88f6
04ad, b445
82f2, 3a6c
32ea, 7d4d
0345, 936a
a9f5, 4f95
094d, 44a0
9228, 5c2b
a88c, 577f
f71f, 45ed
921a, 2f53
6e39, c6e5
7d60, 1c09
f285, adc8
dbaa, 0394
2804, d6f7
000d, 7948
d8ea, 4054
bc1b, 5088
86c1, b188
e1fe, 41fe
c091, 1a04
0f1a, 63bd
de14, dec4
e1fc, 9fe6
9259, 7903
a512, 518f
f1fe, a199
dc67, 8ff4
69a2, ba9b
7679, be31
3aa6, e56d
da24, 875a
64a8, 828c
2e01, 4897
0ebe, 17ca
4946, e9ec
c915, 5c72
a3b7, 549b
1b0a, fa93
89bd, cf7d
05d5, 960e
9def, cdbe
9f7a, d9fe
4818, ae1b
5d9a, 7b35
2156, ca97
455e, 30e7
d83b, e5ba
4234, 8c5d
194b, 4587
9efc, 611f
3d34, c074
862d, 8a2a
46c2, 5fca
3276, dfef
988a, 5e5c
ad4a, fb8f
3aaf, 344c
fafc, 245d
a5a9, b62a
5861, 4820
3d1d, b063
3754, cc19
f580, 009e
312c, 7065
ab84, a048
e966, 1e2d
9696, cf43
74ec, 2da2
cbd7, f26d
cc1a, 8dc9
9c16, 74a3
a89f, b1b9
41b3, f4eb
ecec, 3c31
bb2e, a659
cd82, 5aff
b748, c5de
ae1f, 8e89
89bc, c024
5204, 2899
ea87, 5f6c
0293, a1a7
07ce, e7ce
8777, b74a
7b08, 7f9f
f5b9, c122
b328, 89f4
9b21, c72d
39d9, 9e33
ab15, e189
15b7, 9607
c2e4, 59db
f801, a1ee
54ee, 2870
b31d, 2eae
3cc6, 4e8e
c5d4, 3eb1
92f5, 7a31
11a3, 41ce
2fe1, 6da9
39ad, bfd6
7cf9, 0b66
3795, b795
cba8, 18f6
f6a8, 5640
c4cf, c784
49e6, 34e4
4024, ccf6
e14e, d19e
586b, c3cb
a7e2, 3476
66b3, c22e
42da, 7681
ab1b, e8df
bb60, a7db
3eaa, e3a4
4d2d, 681e
787a, e2dd
1b44, 649a
a3b5, d361
c822, c825
9edc, 3016
d1f9, 8b75
6d61, 1aff
65ab, ebc0
30a6, 59ce
725f, 7878
9b30, 16f4
325a, e2d8
5074, de77
ffdc, c921
3cce, 6c43
2748, 3210
9015, d8a7
adae, 4812
ee3e, 3d66
6ca2, 7a21
53b1, 4bb5
b0dc, 1084
d6cd, 66cd
9b12, 3a14
e79a, 1d9f
ae57, 34db
ab52, dd26
44f8, 9ed4
87d8, 05bc
ccf6, 4024
ee51, d642
01a4, d8d9
5025, 72dd
bb2b, 6363
19fe, 198c
f652, dccb
9e69, ec51
b457, 6cdc
2fd4, bbfa
e3bb, 7682
dc66, 7270
b2b8, b50d
aa23, fbac
ec12, fc51
b220, 0cd8
04a6, d771
0dff, 302e
30d0, de36
c398, c9f1
ee13, c419
fb4b, 44c2
6875, 2785
23f6, f49d
cec2, fb43
be65, ca5b
bea8, 56c7
5267, 709a
17d0, 653d
38b4, 3232
85d0, 5e5b
4b9a, 7c74
47b6, c714
2993, 6667
f19c, e9a7
79c5, 1681
12f4, 43e5
f739, 0a2f
cedd, 8998
098a, be83
f8a5, 20af
42f0, 9531
8b16, 1ee8
a577, 4e9e
edfa, 47a6
95dc, 2839
f7be, 72ea
2a38, 984c
6330, 16b7
fc7f, 775d
f496, 7a9e
234d, fed6
d12f, 6171
1fc6, 0b72
be92, 2e92
2f9a, c316
edc2, 93b5
dfc2, db4f
2f5a, d838
08de, 88f4
3a03, 6f1b
fc3b, edfe
c98c, d267
c191, 9cb6
76fc, 5c95
6132, 4e40
b2f9, 7f58
1853, 13a9
76f9, 492d
f764, 9764
3cd3, e0de
ec3d, 3c38
dd42, 3ea7
f587, e5a0
77c3, 0b13
dab9, e817
88ef, b0ec
5614, 6bf8
6f61, 0bf0
6f96, ab86
1c5a, 2921
3468, 55ca
6305, 5de0
6002, 50ba
e0a0, 68fc
fca3, 5d4a
44bf, 4d25
a5ee, d7d1
c4bf, 32cc
0bd8, 2786
34ce, 2924
9911, 9b76
8406, e7bd
5aac, 3621
40e6, c6c2
0bd5, 6e7d
faa4, c165
376b, 1be2
501f, d0eb
f9a1, 0f33
85ff, 8e4c
0606, 7f9a
5f25, 40f9
3e3d, ec5b
1818, 5d93
990d, 26c2
1b8a, 6307
cd58, a1be
4148, d086
3ee1, d607
cab1, cb61
ad40, 7d4b
c5b3, d1ee
8d34, 9d1d
12ec, 64cd
81e4, 5a46
3270, d0a5
c7f9, f811
598b, 6c89
6009, 04b6
9305, ce81
2a2e, de3b
d694, 9fc5
e0e9, a794
17fd, 7c44
c336, 49bc
404a, 1e31
32b3, 0ac4
053f, fe83
3a81, 50f1
cb14, 520c
e34e, 8563
af75, a982
f40e, 2206
944a, 8e5f
df2f, 5cdc
2520, a2f2
4d42, 7ddc
9d83, 4649
91fd, 3a4d
1995, 19f5
5be8, a6e5
f7ae, 8816
6bc5, 4332
6cc1, 621a
1ef0, 9c26
c563, 2e85
0c47, 222e
309b, e09b
b137, a9c8
2c1d, 69f2
1175, cc7b
e72f, e4d0
3c45, b538
3119, ae48
4163, 3776
2579, 008d
617d, 5df5
a76d, 32fe
afd0, 45b1
bfb8, 25cc
9f0f, 6186
fda9, 70cb
3e12, 5a7e
75b5, 2535
61ad, 3d28
cb79, dafe
f3d4, 47ca
2060, edf9
8732, cd07
016e, bd4f
d383, b1c4
d936, 0c90
e227, e258
6dbb, 32c3
a5b9, bbf4
8279, 770d
8606, c506
ed11, eeaa
70d5, e341
c5f1, a288
2125, f072
8597, ff31
f8ec, 3ae1
279d, 6188
611f, 9efc
4693, d4fb
e699, 2db0
a3db, dd5a
d6e0, 4a74
bdc0, 06c0
dacc, 747a
d9b7, 3c69
7012, 19aa
ce8f, da1c
4ba3, 7f3d
c9f2, 19f2
22da, 9358
3e2f, b63f
c5cb, 28a7
faad, 2e41
e389, e2a7
faf9, 0a59
5399, ce16
c82b, 4736
82cd, 7b3f
74d9, 7142
5a0b, 2079
d624, 1151
0851, c902
7fa0, 365a
4acd, ca13
aaab, 4c1b
1e52, 0243
1371, bf88
1b5d, bd8e
d3e4, f0c8
895e, 4931
0a67, 5f5f
9288, 3e0a
6815, ce4b
849f, 3f8f
5824, 2090
5074, de77
88b9, 67fc
28f7, b7ac
bc5f, faf8
d5e1, 13c2
cc11, 4d9f
39b4, 8941
1672, 566e
d7f0, 51c3
ac2e, 8074
6573, 5ed5
54a5, 5289
b1cd, 9ed6
b7a6, 3dd2
3a6c, 82f2
e7b4, adce
3dec, 3a0c
b933, 05c7
3854, 6a73
c691, 9006
c93e, 92fa
fb78, 603c
0817, ff69
3913, cb98
25c7, cbb4
317f, 80e4
8eb7, 2567
38b4, 3232
899e, 3adc
4838, f26a
a24b, 7240
b436, 8dcd
c066, ceb8
e5e2, e70a
397a, c2ee
660a, f918
3023, c03d
1ac2, 84f3
e3de, 58ba
2b3d, 6427
65af, de9c
ef97, 79ee
5c83, 2fc6
f3fc, 065c
d5e8, d59d
8dbe, 0a99
5c7a, a52f
249f, 6ee3
6072, 296b
59a2, caf0
9955, 23e0
1b33, cc4d
0cf9, befd
0ea2, b61b
7f5e, 858c
4a54, b46b
3600, eed2
7b2f, 166a
20ce, 3e4c
7cc0, 81c0
3045, 3251
40af, 4d2a
582b, 28c7
7417, 1ad9
ecf5, faaf
4f04, f521
4726, 4bc2
b4ba, 2794
1299, c599
dcab, 1137
38f8, e8c8
70af, 0b09
4887, a878
2ae6, c9b2
e42e, 0828
25c1, 55c1
df35, a230
c1b1, 3403
7382, 6f66
33f7, bf73
fc57, 64d6
1215, 9ad0
851b, 9fa2
