4f72, 97dd
ad6d, 3bb9
e1df, e7da
65a8, 36c1
4ab2, 6b18
2cf1, ab32
cfc5, 1f6f
c130, 5947
aad3, 2f10
116c, 1f39
eef0, 4a00
a7f2, ed6d
21c4, 9e6c
0404, d0fa
eb64, 7562
7e2c, db9b
0a61, 590f
efa9, e1ac
13c5, ed65
559a, 524f
4b5c, d61e
681e, 6b41
b734, c896
8f91, f8c8
400c, 9dd9
b3fd, 65c2
7cae, e343
bc1b, 097e
1bbf, d7f7
787a, 8b0e
9ad5, 7310
3afb, 37fe
7ec5, 8462
0c8c, 732a
7002, 778c
37b5, 5c62
8b3e, 993a
3e7d, f89c
ac52, a6f5
d97f, 532e
ff96, be4a
a498, a9f1
6d6d, 6232
1997, 9a16
d685, 8c86
1cd5, 8b53
180d, b191
6dc6, 658f
047e, 0384
b7f4, b91f
1893, fc1d
be72, 7d99
f23c, fd5a
b3be, 4c29
45c5, afd5
5182, 5377
ee44, e549
035a, 006c
b2a8, 58c0
dc0f, dd05
eddd, 47f2
5e14, de39
505c, 582d
f7f0, 6f3d
afc9, 4262
d213, 8f04
679d, 034c
b510, 20f5
5dc7, 1a7b
7025, 9041
2fd8, ec10
71ab, 8a49
0948, 5781
857c, 0179
77c2, 7aea
4adb, 47de
1e45, 841d
e455, e95e
7313, 7c3e
cd17, c24a
5dcc, 6378
6d79, 656e
e01d, 06f5
bd86, 3045
95f7, 964a
e4e9, 9338
1cd8, 19e4
adfd, ac56
d003, f8eb
d646, d015
662c, 9e8f
c573, 281a
fe52, 9197
f51a, 838c
a42e, 912b
10fe, f64b
b96b, bf06
bc95, 9d58
376d, 4995
b476, 2fc3
09c2, ba4d
e5b6, 8454
0a65, 6755
437e, 087e
9acd, cff7
44df, 314f
9736, 6c99
f517, 1ae7
08f5, d235
c3d4, 5fa4
52fd, 9bf4
3b21, 3e2f
db5b, 7bd1
4906, 6622
d736, d06a
a98d, 5c20
e6a4, e4a6
f10d, 8f3d
bcb4, f2ad
b6f2, d38e
e0b6, 3bf2
5f0e, 0399
1abf, 1485
5c54, db91
ac09, 705d
08f9, 041a
66fa, 6a83
ac82, 3a23
7a9f, cc71
05c0, 1174
b5e0, 5ee0
3235, 475f
34a2, 3648
ef3a, 76e4
6929, 0a3f
81c4, 7d36
ed03, de30
9485, 8a07
0681, 017d
598a, ddb3
33dd, ea9f
876c, 6d55
22a4, 9f4c
2589, cea2
b82a, c1b2
4715, 411e
65c5, ac97
1732, e8f8
f42e, f8ed
308b, 5dcb
9f13, 08aa
6efb, c397
6a5f, 692a
071f, 07f1
a026, 1dfc
e908, eb05
eece, d279
37cf, 3ac1
b94b, 278d
f600, 56d4
ceeb, 9b79
f1b8, 8af0
e9a3, d41f
37e6, d5e7
37fb, 50ea
743c, 4751
e8f2, e35e
e039, e930
9fa7, ff91
1f1f, f1f1
5319, fc2e
a60a, 9dbf
1f26, 94e2
5e98, 94f9
be09, f6e6
b5d5, 04f3
8ce9, 9698
c441, b1d3
4ab7, c5c4
4f49, a4fd
c74b, c7df
c508, 4ba2
c306, fc2f
5b71, 5018
b8bb, b0b7
bbed, b7da
74eb, 9d1b
f38c, 2e8d
212e, 068e
527a, 2f7e
9636, 9555
03c5, de9b
d06f, 45c9
1f4d, 228d
abd2, aedd
4c05, 4bfa
85e4, 86b1
5d93, fd94
708b, 780b
1f58, a751
a147, 4335
3aad, 364a
4ac7, add5
ea5e, 078e
8bb0, 91c5
c6f2, 9ceb
1714, 5930
b22d, 2a37
627a, b0ee
a8ae, a4ab
8a47, 94cb
4a50, 0cf1
7326, 9c8c
3e7e, 8d9b
55d2, 05bd
2735, cd3b
fa90, 8eb7
4dab, a435
996f, f168
ba5a, b606
b8bb, b0b7
4748, c9c5
595f, 5aea
6d67, 623a
02f3, b5a5
11b3, 1df6
8e38, c89b
e3d2, 5ca4
1eae, a3a2
de7c, b378
2932, 2f53
c880, 3786
749a, 2c69
7c6d, 7952
dba7, d6a1
2940, 6312
a233, 1ede
d1f6, b185
7447, f4c0
3aa9, ade8
524f, 559a
bb5f, be64
e557, 3825
0a8f, 3944
a20b, 9d62
513c, 2e3e
d854, 039c
428b, 47b5
05f8, bf73
6b24, fbd3
da34, b6aa
b53d, c61a
b8d7, 7d5b
6726, 6c5b
2e31, 5133
c2b7, 9ed9
5ee4, b9eb
0a73, 0e84
3c57, 1c4c
7791, 784b
b7b0, bae3
5547, 7a4e
77e9, cf9b
4794, f86e
9fcb, fe75
453b, 463e
e06b, a82f
a2ac, ada9
ceff, cb81
2c2e, 9ac2
3c0a, 51bf
6a95, 577a
8ad5, 8e12
d32c, 45ce
3d1a, 3217
2ab1, 8bae
167b, 1100
bddb, b4ef
a817, 5162
37b1, 114c
bb92, 52a5
8c6e, 875b
c2f8, 9d18
1257, e775
bb80, 8088
b314, 6e33
65b6, 3904
3b43, 3e40
eafd, 9eb5
13eb, 40dd
7315, 7a62
7222, a9b7
69aa, 80f7
249e, 9e26
9037, 3c3a
5ef1, 51fe
a839, afa0
534f, 5a26
0dbc, bc06
d896, df95
c4fd, 2021
e8d8, 0a12
0bcf, 8a0b
704a, a80a
a89c, 425e
e365, d566
0843, b5ca
9b36, 9d55
0605, 6656
394c, 3c49
683b, 6ced
6033, 6365
db86, 31c4
3d81, 44b5
2149, 39ea
ad0d, 7820
c346, b76e
17e1, 1cdf
0b2f, 0ed4
3314, 64cd
a71a, a5d6
135a, 77b2
3c4a, 3947
d77a, b9a0
d612, bf6e
7ba1, 25ec
8abe, 5647
8130, 1805
188e, 09da
a265, cfc7
36f5, a69f
1688, a5d8
a66c, f31b
8f51, 7f96
2c22, 2e27
38f5, dd66
76b4, 4695
acc3, a9c0
7084, 00fd
b35a, b06c
d815, db47
20b3, da40
d152, 6853
dc7a, 165c
32db, 38df
fbcf, 8f4d
680c, 3550
0a6b, 69b0
aeb7, c993
e59e, ee95
a951, 192f
e4ac, 4634
80d7, bf4f
a42d, 9122
3c21, 17d5
45a0, 4735
130f, fab6
4588, f61f
ab90, 4f52
ace2, b97b
66c0, ce4f
2f6a, 0c44
889d, 0043
2546, 26f3
8bd7, b94f
511e, 5c1c
8d33, aeaf
9da1, 929f
f8aa, f53d
f58e, 667c
4e10, 4cd2
0af5, 0678
8aab, 4a7b
db46, 0153
bd0b, 2c4e
a32f, 3cf8
993f, 1ffb
be80, d15d
34fb, 38fe
aab1, ac8e
997c, a886
8cc1, 71ec
f7e6, fa23
b3e6, 20b0
aaa8, a7a4
2b97, cda2
a30b, 788e
d3b3, d4b4
666c, 6539
a29a, cb99
3ceb, 3e3f
d4e5, 8f7b
2814, d80d
04d2, 0369
0d4f, d5a2
e695, adf9
a4d1, a8df
a252, a7f8
4de6, 912f
02d8, 5965
9230, f8af
b197, 860f
fac6, b4aa
2060, 0fe7
6cb4, fb56
c96c, 8d5e
69ae, 6ccb
e667, 64e0
7cd4, 01cc
a387, 3685
2c21, c05f
e992, 72ce
4406, 32d5
d3c9, 6145
a6ab, 1dcd
d475, 0348
43dc, 3573
82af, 6282
f9f6, e4e7
54f5, 2697
2972, a54d
f306, fc7a
fce5, fd42
6931, 3a01
2033, 2356
b7b5, bce6
e230, 3b6d
7142, c68c
634e, 62a2
bf50, 2166
0e24, 0bd1
0e0a, fe8c
c78f, cb5b
83a9, 1077
960d, 753d
0155, 499f
205c, 2953
9197, fe52
c700, 7a35
e166, 396d
720e, 7984
bd50, d3ab
04dc, 5fb9
7ee6, f46c
b6d7, b1db
9afb, 7eb8
5cae, 2e02
5990, 8d77
abbf, 199a
bc9e, b9ce
e94f, 6ac3
0581, 44be
a1c4, 201b
f3d3, aa5d
bb16, dd33
00f8, f888
bffc, fbbc
3ecf, 6a1b
ca4e, 4682
d1bb, 8184
daa8, e7c1
8f41, 5e1d
76ca, 123e
1102, cd75
55fd, 7bfd
c1ef, cac5
9445, 2106
cf70, 9d7d
ff67, 843c
1a73, acf1
e20e, bb52
5e2c, 560e
a96c, af1d
83ce, 8133
0c01, 6c31
fe93, 6433
3a4c, a634
4748, c9c5
7ada, 4d41
b310, d28b
5b73, cf3c
9517, 908a
17ee, 0acb
4c9d, 415c
5314, da62
bd64, bb58
1b9c, d07e
5dd8, 6228
9adc, 1550
1f7f, cb55
e517, e61a
f8ba, e631
be0b, 5aad
08d4, 0036
f4fa, 4d23
c909, c3a1
ccbf, e56f
c7be, 0afb
b5fa, b24f
f5eb, f849
8e69, b51d
f3a0, fc35
8557, b1c5
ec1a, e75c
525b, 5d3e
7b55, 7e63
2071, b990
4460, 1f35
a308, 307a
004b, 0b9d
af3a, ced2
44cc, 466e
6c87, 76e7
90e5, 526c
ef47, e147
489a, 9863
9a53, ae20
8240, a282
22db, e81d
f2f2, f82b
9a2e, 97ed
823b, fb0d
762b, b7d8
d0be, d62b
09d3, f413
3aaf, a6e7
044d, 6af5
47f9, 422b
6761, 6c04
1af8, 4781
e3c9, 141f
c921, acb8
1d47, e132
c330, f619
d316, 609f
5c2a, d172
064e, 0b92
1190, 84a5
0730, 20fe
bd91, 0bac
0ff9, b1c3
e9b5, d2b8
189c, 3377
7cf8, 029e
2630, 2a39
cc44, 4449
fc50, 4a53
87ff, 25ae
546a, be6d
7bea, 26fc
6ec6, d09f
d2db, 2aab
52c3, 82c1
dfaf, d1c1
2b67, b93b
1ca4, 18a9
97ed, 9a2e
6c67, 6ee2
c149, d317
2694, 2193
6b23, d90a
f767, f065
4f72, 97dd
d5b6, e520
ce10, 7849
5c87, 7358
e3b7, e4bb
02b8, bbd7
4692, 4155
7f7a, 820e
caeb, 2ff2
dbbe, d44b
0b7e, 0bab
304d, 897f
466c, 9dc2
b99f, fa6c
7988, 95b2
351d, dfde
0e39, 6b07
5bea, 8bca
1dc1, 472f
6a5a, 042f
21f4, 2a73
7170, 845f
7ba2, 9b9b
b778, f775
00d1, 3890
474c, 1a8a
f149, 5383
5da7, 8a2d
4be7, a8e9
0422, 6a53
1ad1, 4413
46a1, 746a
ddbb, 2635
91bf, 9a70
28e0, 9c07
bab5, bac1
01cf, 76df
e92c, 3d17
c461, aa1e
f854, eb43
12e9, 71d2
22a8, 3eab
13b5, 148f
a31a, df82
efe9, af60
561c, 6698
fcbc, f2c8
f3bf, 91f5
efda, 9029
e2d6, cf63
a891, a52e
5174, 3357
8c9d, 8c04
cd58, c021
1e85, 5e6f
466a, abd9
3aa5, d1af
baac, 2772
9d99, ae9c
7249, b0c0
ca7a, 7c99
c05b, c55e
94aa, 6c5e
5ce1, 5e3e
91a2, d010
bf56, 2860
a2ab, a34d
e866, 9ff5
313f, 8915
3dfb, afc7
9cb8, 50df
2da7, 7bae
456d, 47c4
ac22, 9ad2
39fd, 3b94
abb2, abbd
d88f, b148
44a5, 48a6
0f16, 294c
eef1, e1fe
0a87, 930f
8f65, 8853
8d7c, 39d7
8f80, 0c23
5cfd, 53f4
cdd2, cbed
260e, 8963
5699, 73bb
6b37, 1217
4dba, d429
bd46, b0fb
f013, 1e09
be46, f611
edb5, e2b6
1832, 8e60
3a42, 3da8
ca4d, 20df
b21f, 6d32
0493, 6b03
8d22, 4ee2
a7ec, a943
82a8, 7d49
1ca1, 18a7
722f, 879b
bae5, df22
4921, 48f3
dced, d7d2
874b, 3a0e
f138, d8d6
ed7e, 5d75
