110f, 2d54
5ffb, 0a42
b04d, e29b
1444, 37b6
2ebe, ee62
4705, 41de
2dc0, 8734
133c, ec3c
06a2, 23f6
2d84, b69a
f1b1, b39d
80ff, 0d23
3923, ef03
cca2, e807
c23c, 4bdd
9741, 5fe3
85b4, 0c99
0df5, 04bf
20bf, 5f22
7001, 007c
549d, b522
3af5, 51c7
0328, fa07
ff60, b004
479e, 4788
5065, 07a9
2935, 4aaf
cc61, 3059
c312, 343b
8cc5, f142
9033, a6a4
657e, 8914
937f, 77ba
7c95, 13ad
05af, 733a
0be8, 6d37
5603, 0632
502c, 4856
1c87, a1f5
cc88, a42f
9035, 4d23
1dc9, 9d4a
1503, c262
644e, 6efa
38e8, c2e8
7f54, 5081
b090, 5bb5
e2cf, dd7a
1c2a, 3c7d
a263, dd6f
c69f, 6ba5
af09, fce7
1dbe, 2a87
dc8f, 0c74
29c0, 7bb6
a108, 14f5
da3c, 1ee1
cd83, f275
71e1, 943c
a4ea, a9c5
735d, 806d
b15f, bba5
4912, a434
7283, 5817
e4d2, 2965
e882, d795
5800, fcd0
6c40, bd9c
6009, 3b58
e608, c235
204f, 35f1
bede, 46af
8638, bcfc
23c2, 061b
d0dc, f9ba
4565, fed2
7bd0, 78d9
c4f4, 6e8d
1e01, 151d
baac, 880c
75a4, 91f6
dd47, 0bc4
f6d3, f5b1
9dbd, 8c7c
ca64, cf37
7077, f27f
0433, 129b
71d6, 71db
00ac, d1d8
a5b3, 4d50
2cba, 013f
639c, 91b7
7d1d, c2f5
88aa, 6dc3
e515, ac9b
4795, 1882
db7a, da61
93fb, ce4e
fe2c, 3a27
2486, 1cdf
edcf, d3a0
1709, 1708
dfe2, 17ef
c393, d6f1
0938, 5bc7
c8b8, c7b9
c550, 1c08
e2d2, b118
f822, d18e
7526, b238
d544, bf08
19cf, 1d22
0d7d, fa83
aa0d, f9bb
986b, ce2c
023e, 0d8c
7df6, b9cc
a6d5, fbd5
624e, a93c
064a, bea1
00f9, 2b89
de31, ed3a
6c45, 5708
448b, b4be
c5e3, 732c
946a, 21ab
11fd, 2f2b
d542, 3a5b
6fc7, a51e
89d4, cb78
2500, 7d1a
97f0, 2aa2
5b66, c7a6
3cf6, 247b
b32e, 6f43
dfbc, 5f6f
0168, 5fad
449f, 12bd
ab35, c274
5e1b, 86a7
7e09, 703f
39bd, d72d
6231, 14e0
6af4, 4420
c8ee, b2fd
99e3, ca7c
35a0, 16aa
a9c5, a4ea
c4f1, 3dfd
3578, d58f
7249, 0f2c
604f, 10a2
6322, b8bc
f1e3, 0170
87a4, ddce
bd42, 8d9a
d6c2, 3642
7592, 1952
a947, cdf9
67d2, bc62
15ea, 0faa
91ac, 91f8
b205, ded2
4823, 0c88
da6a, 0695
606f, b6df
183b, 758b
50c8, 2680
bb1a, 6da8
ef29, 004a
909e, dcb1
2e72, 81c1
b2b9, caba
5080, 22f5
f512, c58d
5425, 9dfb
2a1b, 0ac2
d267, 39e5
7722, 118d
0709, 6b20
6b7d, eb86
be21, 4128
1613, cb85
bf08, d544
615d, b9b0
d31f, 21dc
63ae, 1893
8129, 0629
92f6, c359
3ef2, ce87
693e, 97d6
5269, 2cf1
868e, 920f
a77e, dec6
1700, 7700
94aa, 3c3b
5068, 1491
33f9, 8252
5d5e, bd03
e260, ce65
b538, 8397
a418, 9fc7
07d4, 2734
2e18, b3c9
a14f, 5ba5
d11c, 4c22
1d24, b89a
4c2e, dc8e
1725, ec13
1bd5, ae6d
a0d3, 9f77
4d6c, 0732
68cf, b189
83a9, f1bc
1397, c07c
b7a1, 67f1
4313, 7e70
973a, 724c
b4d2, 4f1b
3706, 1ffc
16ff, 4f48
46cd, d6aa
c7ea, 266b
5017, 2d8b
3044, 03d0
2b05, b09b
6ae1, 1331
2312, 9c9e
5603, 0632
3742, 4732
82ca, 8e1f
f4a1, c209
e6cf, 11c5
a11e, 616d
28c9, 31cf
d0d6, 081e
18b4, ab9c
bc83, 51f3
17c1, e7c1
f4be, 4a05
c969, d26f
d4e3, c14d
92ce, 1507
6638, 997f
32fd, aa4c
abef, e4f7
024f, 75e9
a668, 1aa8
2597, bbf8
1b89, 9ec8
33b0, 0a8a
12d8, 8367
f4a7, c025
23a0, 9674
569b, 7aa1
f82e, 2793
f119, 9603
428a, ad98
a558, f634
e428, f35c
5650, 0521
ac04, a493
244c, 9e38
af97, 1989
b9d7, 4340
1f6d, b47c
adae, 6dc4
7486, be93
450f, a3d4
a4be, a4d3
3938, 292c
6cff, cd2e
baf6, 51f6
cf18, 74c7
30e2, 2622
a017, ca85
3111, 3eee
3280, 6bfb
e88e, 88ee
94fe, 9176
506a, eb04
12d1, cc50
538e, fefa
bb42, 0c29
85fc, c4d2
51c7, 3af5
af0a, 4091
14ff, cc59
1d7f, fd5e
1df5, 1381
eaf1, 0056
5159, 9231
fd21, 5bb4
5052, b063
6578, 23c4
4bac, 36e0
fcfa, dbc5
a2fa, 3375
6abe, aa8d
8c62, c7d2
1f31, a73c
372d, d9bd
015e, 22ec
6fda, 0d3e
7620, a06f
bfe4, 3ea7
906a, 8c41
3e2d, e739
5e28, 7128
da91, 632d
a512, 14b6
8c4e, 744d
9b38, 7918
4093, d07a
1bfe, 98c7
d72d, 39bd
1cb0, 6180
b308, 4e93
3f4c, ee56
4956, d796
cb62, 4ed6
87ed, f3df
3adc, 44a8
07be, 97be
c200, cedd
d24c, 5bbb
d76f, dd2b
5933, f84c
b95c, 859a
02d7, d3d7
229f, f4e4
3e90, 94f1
213a, 08e1
06c8, 20f9
95dd, 9ed0
9e3d, 720f
7e2f, c5fe
8049, cde5
45ca, 3de0
cda2, 3ce2
35bf, ddd4
6cb6, 3e5c
08fc, b897
6daa, 7af5
8b50, 7b26
0a17, 7683
d641, 8670
72ae, 1d10
ddd8, f5cf
a82e, 6c77
fff8, b7f9
bd0d, 58a3
f4c0, c959
a651, 3d6f
36b6, 058a
4fb6, b0b4
18db, 4133
2486, 1cdf
131e, e311
4bd9, 162d
4784, 188f
2468, 8da1
9654, b620
d6bf, 35b1
4ab7, b3ba
8385, 0e89
4729, c958
71be, c105
36d2, d632
8cc7, db1b
0585, cbaa
8ea1, c9ec
cb1f, ae1c
6ecd, 3f5d
f2c2, a3c5
9c00, 138e
a284, adf7
dff8, e79d
c586, f2c5
7310, 813b
ba0b, fd90
e60f, 6cb5
2c5b, 9392
aec1, 1b19
5be3, 56e2
b33c, 7950
076f, a63f
8cd0, 7166
9826, 47e6
2f42, 41db
0309, de2c
782a, f0b6
5178, 5e52
acad, a1c3
5fe6, d5f3
8bd1, 1e3f
a8c8, 6024
1d46, f313
2e53, 3543
e3ca, 0377
1691, 42ed
ddc6, c878
0b09, 6db4
5508, e3b1
0cbe, a5e5
15e2, 6d5f
5ed1, 2028
d335, bd91
4406, 9f0b
7897, c03d
d691, f59b
4f30, 1242
8dbc, 6944
a7e0, 530f
9288, 32b0
1049, a398
d768, 76d8
7801, 094b
923a, ab8e
dcd0, f915
76b2, 3471
fc4a, 8de4
4824, c29c
b326, a4d8
bdb7, c4de
b471, 17e6
026e, 73ca
d871, f7e5
474f, 6675
1d44, dd95
6881, f735
e991, 352d
79c4, 357d
d727, 016a
c7c7, 645b
ba36, 96c6
2797, e1f1
bd54, de8b
1bb7, 6cdc
4d92, df94
842d, e1fb
a216, 3449
d047, dacd
e8c5, 4454
5e30, e53d
b7dd, 57dd
9874, f789
1651, 67a8
62af, b4f5
d59e, b933
54c6, 7f58
6979, 9b22
be58, 1463
57bc, 287d
5c02, 4090
4dfb, f696
5537, 7737
1f8e, b963
5124, 010a
3513, 5323
11a1, 4411
dff3, 0294
cf5c, c398
1792, 19f0
3f6a, bebd
b9cd, 65c1
fdd2, 7626
fc87, 90cb
5029, ccba
7ef9, 8325
e552, 30bb
7a2c, 1298
508a, 335e
7cc2, 7cc0
fb39, 583f
5dfe, 0d73
9ca4, c029
caa0, 41ab
2f84, ef74
9463, 81b5
c04e, 3231
62f4, 8b67
0366, be3e
366c, d9d2
1c6c, c937
ffde, 247a
30df, 5465
51c2, 2c10
8ef7, 1405
75cd, 83dc
0525, 2a9d
3ccc, 3333
9013, 4eea
4096, fb4d
5908, fdca
73da, 81aa
75fe, 6560
4f20, 3a46
c467, c4ef
a4f8, 6dfb
0fcc, 8d9d
fda9, 9211
b89e, 580c
48ef, 2639
9a63, 7c02
37d5, 21d5
be73, 10f9
54a4, 2499
d2fd, 17f3
f028, 4cd2
04cf, 8ed3
46ab, f3ea
38e2, c812
e747, 5147
5dd1, 9d10
51a6, f727
0c2c, 242c
8759, 2880
ea0b, 6627
e78e, 878e
29b4, 620d
f555, 4fe3
f675, 2463
d377, 1395
bdb3, 5623
8d17, 9319
5760, 8f47
414b, 1aa0
dc71, 66bd
3654, 4c24
616a, 6751
3c8c, 7583
ce14, ab49
100b, 1704
af22, 6c5d
a5b7, 77a7
3989, 7c0e
022a, 5871
bec5, 2d9e
405d, a302
2b47, 9fa2
dc09, 4659
11d7, 622b
9434, 20f8
828d, 15c6
11de, f9b2
2697, 7480
ddf9, f921
fa0c, 84b4
770b, 170b
4743, d9ec
75b8, 1301
6b5c, 0be1
af3d, fef6
459a, 6370
d416, 6e71
dfd5, 4f10
db8a, 0ba8
4b5c, 9949
73d7, 12d7
c137, a4e8
81f1, 1c97
ae70, 9e8d
c32a, d42a
4bde, 5789
a0c2, 93a5
4749, 3d92
0c13, 011d
380a, 06f0
05ec, bd0c
c385, 1efa
72b7, 838d
282b, 41b3
83a2, 7952
aed4, a209
8cb8, df40
2f64, d4d8
f1c4, fb6a
acec, 11d4
bb6b, ac35
5f27, d83c
8cd6, 7160
2b2d, 2910
7d02, 3a81
6a88, f2ba
2220, 6b36
c3e3, 1e4a
9597, b62e
63ca, 1ece
09f4, b976
4f63, 3414
f2ec, 2c29
d0ce, 304e
bcd3, 01b5
62be, 6a1a
dca1, c651
cc55, 7553
65e2, 90f3
3094, 6aea
2aeb, 1fa2
cef0, 89f1
cc7b, 7cc7
57ec, 63cb
213d, 5cd3
d6d6, dc7b
d0fc, efb4
fd1e, fda6
2061, 0a5e
1171, 053f
6734, 0d33
45cd, 299f
e6d7, f9e9
da67, 596a
c9b1, 4af2
809a, 165e
68d7, 7932
1466, a37e
08c3, 6bd6
ce17, 38ec
baa6, 9ce4
422f, 3ae5
c129, c499
b50a, f90c
4f8e, b8dd
c569, eab8
4e1e, 8e7b
b8f6, 668f
0c11, 27a2
9687, fdd6
17c7, e5c5
ec2d, a43e
f840, 3294
40ff, 8bc4
d6ee, e6fe
a1cf, 966a
fda7, 7ea8
d870, 21ae
854a, 9a76
4755, 6c7d
11c8, 9b6c
5f56, 9ffd
3225, e0b0
9888, 3d76
97f5, 8885
baad, f1e4
d213, 3516
5ce3, 7c85
1438, c54c
f9fa, 5fa9
f412, 9439
a03e, 7074
3a30, 6f5c
343d, 3c66
c30c, c5cd
1e3c, 6431
278a, 77f8
544f, d2dc
1dd9, 70d9
e1b6, 665a
54fb, 9450
5678, 8cf5
5f96, de22
a39c, 68ef
4d7f, 3015
997a, 399a
b97a, 2506
c694, d625
3f57, ea38
9b13, aaa9
e4d4, 1bb8
b1aa, f899
c721, 4c82
fac3, 5e4a
3204, ed27
c8e7, 623f
63b8, e120
40c6, 2b81
4a46, accd
6a92, d323
01b2, 0163
cd01, 46f2
1a70, da55
c11c, 3e13
094b, 7801
7244, fc83
d791, 0741
c1dd, 9c22
ecd5, 4e3f
4701, e010
a58f, f734
7164, 8cdc
342c, 3eed
e5a6, db4d
684d, 6233
f946, 2bcd
31f1, 5897
0c27, ae37
b56c, d2b1
0974, b5be
9dbb, 9eff
9431, 813c
7b73, cb1e
47d5, 9432
6882, b870
424d, bbf1
2857, a438
b4ee, 8346
e5cd, 651e
0b24, 7ff1
3428, ae57
9c07, 6247
4f17, c0eb
cc09, 3659
d1ca, 6c8a
519b, aab4
3541, 036b
f0c4, 7044
b708, 59bf
d28d, 2fed
96f7, 9901
fd0d, 84f4
615c, 249c
8100, 51f5
87ea, 98da
8da3, f482
eda2, 66c5
47a5, e8e2
c206, 4af9
54f8, 6158
dfbc, 5f6f
cb1f, ae1c
9d8a, 5340
80c8, d667
cc02, 8762
7600, bbbc
1a44, 685e
e75a, 4b24
c9e5, 442d
1c50, a26a
ad3e, cb8a
907a, c0ef
0179, d719
42a0, 14ee
0efa, 05ee
a685, 0051
7fa5, 00cb
06b6, b8cd
75d0, a35f
1ebc, 75b7
ccfc, 37cf
703e, a074
b1b3, 4532
67e1, e931
aa8c, e7cf
ee0c, 5208
0e94, 0959
5240, f497
7887, 8876
69ed, 48d6
a04b, ee2a
4754, c0bb
b177, a75e
cafb, 1429
ac20, 556f
5124, 010a
7b89, 2366
c292, 8d16
48ec, 58ad
a89e, 18f3
d600, 0060
fb58, aa32
b461, d34f
adeb, f966
c21d, 7276
3343, a97d
9670, 0152
7fed, 6526
d27c, b408
d396, 14f1
dfbc, 5f6f
0b2c, 15d6
0205, 6362
c500, 1e6d
8c38, 8a39
87c9, 111f
16d4, 7628
8c05, fa6e
8f09, 9f08
cbaa, 0585
ad8a, 31b4
816a, 71dc
2b4b, 1da2
8929, 7858
d78e, 078e
8060, 8769
4f0f, f1e8
9de0, 40e0
f0a8, dee8
2c77, 2355
e3af, 44c5
47f6, b9e6
970c, 4608
2e51, 1e78
8551, f8bd
5a6d, 2abb
481f, 1b3b
80a6, 92da
33f3, 9787
3e98, 2f40
f8d9, 3d7f
ecd7, 4a40
3c37, e3a5
6aaf, 8d0c
187b, a782
63d0, b40c
23ef, 0de7
f24b, c25a
a3e8, 2428
9dfd, ad90
0614, 26a4
3408, c2d9
d1bf, fd24
0c8e, dc12
ac9f, 1919
a65c, ee39
2f7c, 3fc1
2481, ea77
98b7, f809
529b, d046
adda, 9488
bde6, 0138
6fb5, 1a13
cfcb, 44ea
b5dc, 62bc
201f, 991b
eb8e, eec6
c62c, d8a7
6043, eb13
620f, c867
126a, 86f7
8a20, 2d59
6f95, 53a8
aa29, 1218
96a6, fd13
07f3, 4671
b69d, 53fd
7594, e17b
6b3f, e760
d3a1, 0c33
ffb8, 8909
f535, 955a
cfce, 2b90
c3d2, 8e8f
c008, 3a64
600b, 5cf3
6566, ba0c
0013, 2b43
783d, 9e6f
cd00, cfba
710a, 9124
0de7, 23ef
eaff, 8f8c
4143, 3ce3
ba8d, 6511
d8e8, dd50
afb3, 391a
49ed, 93fd
829f, c943
b789, d88a
5cef, 2356
bbb9, 66ba
dbe4, f2f4
6003, 3cf4
f0fa, abe3
72ec, a118
5d08, 337c
334a, cb95
b980, 0ec7
c5d8, 8368
85a9, 58bc
4efd, e39c
88eb, 1c30
6bb1, c52d
dadd, 3ced
adb7, 3d89
e05a, c22d
2cc5, 2ccb
0df3, c0ff
39e9, 96d7
4974, a994
a7d4, e21c
0e35, 068c
2f3d, d27d
b2f0, 50f0
6f49, c3f2
3515, 7c17
2197, 60d4
5b1a, 27dc
0af6, 93ca
f67b, 242b
f70e, b70e
558d, 7984
305d, 8f3d
b00b, 55b2
4b5b, 562c
1e2f, 4a20
5ed6, 8079
e9b1, 15b4
79dc, f493
1edf, 2fd8
7157, 5e3c
3bae, 0fb9
66fb, aaf8
7af7, bef0
c15b, 8bf6
bef4, b37c
377f, 777a
b74f, 20d2
3b72, db85
38de, 5803
e483, 34ce
a1a1, 4897
7bac, 9241
52f8, 0b97
4064, 90b4
d976, 1953
88c2, e132
30a4, 29bf
65c3, 8644
0c20, a090
05a8, 5107
2acd, 78b7
c754, 65ab
7c08, d4ce
7cd9, f1e9
828c, e127
f37c, 8e84
4e3b, 8ba8
6bc2, 4614
f4b9, e74b
ef00, 346d
44c9, f5a5
8833, 696e
ed9d, 993f
f481, 4a77
833e, 8378
87fd, e883
8782, e87b
b71e, 671e
d3fc, 4193
e83c, 1ec7
7f44, 7f4c
9950, 6a9e
a16b, 686d
1d4e, 5cb0
2f80, 0985
f949, 9b37
ef6b, 6208
9e1b, a2c0
dabf, 126f
2db4, f1f1
5992, f992
a763, a2e4
0612, fd19
c43f, 2727
b795, 05f8
c32d, a6f1
307c, a001
ea8c, 8db2
2905, 4c0e
b34b, 87e4
78ff, 0149
326e, 22d3
cd0a, d848
bd97, dec1
045f, f2a0
9d30, abeb
f983, 285c
bbec, 4fa9
6e1b, 573c
6d8e, 3bd2
4711, 5711
5e44, 9146
0b73, a8aa
fcf9, 07ef
647f, 3e0b
df9d, 70c8
9041, f384
1571, 210d
1615, 7b15
d5b0, 6225
8f04, 656a
adf5, 6ffa
e65c, 9c50
3786, 7999
82db, f52a
7e5c, c233
64c3, 7cb7
31d6, eaed
f1ce, 65f8
cf11, 603c
9c75, c34d
a968, 036f
02b2, d3d2
5aaf, 6031
4888, a97e
5e93, 838c
b653, 8bf9
0a9a, 153a
51ef, 2e26
9c05, f16e
7618, f3cf
358c, 7aa4
faf3, 824a
f449, a949
1197, 7147
e95e, 390e
2009, ff25
f8a6, 7916
3cc4, cc74
e94b, 1efe
a211, c2ca
8efc, 793c
f931, 2342
3e33, 3877
21a6, f90f
4c35, bbdb
c9ac, 581c
c9b6, 8276
9fa9, 402c
0921, 75f4
0ef2, c59d
7dca, 2e6b
6b61, caeb
ec4f, 2d52
6de9, 87e9
6fb2, c4c3
1a56, 7402
9a73, 067d
0cb2, bc6e
4cba, 3a9e
bc27, 4e37
b776, 88bd
3417, 5988
a625, 4df9
0682, 510f
4896, ee4e
093f, c3a5
264f, 6995
853c, acc7
cfb3, 7530
b71b, 6c8b
a7a7, b26c
3eaf, aa12
244b, b6c8
4606, f8b6
0172, 71b0
6f18, 45ce
75ba, bfba
4779, 884c
911b, 8cef
aa8e, 3afe
9090, 5f0b
0100, 5a5b
5348, b6a8
c6bf, 8604
1330, 69ac
2c12, 21cb
94c2, 492f
6e4f, 09e4
cdab, 8e07
772e, c32e
1a87, a253
6c03, a952
764b, 10ab
06e6, b137
edeb, 451a
0eeb, 5d30
6f07, 6dc8
c6d9, 8bd9
00f6, a94c
624c, 3d6b
0893, 0f5c
d22a, 3245
18bf, c7b8
4f69, 6209
a87c, ef2d
727e, c171
c049, 4ef8
18f1, c7f8
51a5, 0112
3257, c13c
b14d, 2aa6
2fb3, 4425
056b, 8686
c17f, 8c19
bf8b, 5ec9
5c2e, bd2a
3d9b, 1581
e68e, 36de
5e57, 9428
b309, 8420
ef6b, 6208
c9b9, 8438
ffd0, 5201
b933, d59e
a779, 78a1
1bc0, 4d9e
3bc4, cce8
671d, e202
a3c7, b362
2190, 8cb9
c31d, f382
0f17, a309
2860, 5d80
b9fb, 041e
3fa0, 6017
55c7, 75c5
3fce, 2f13
4be6, 3637
9b45, 0b19
61f0, 7224
5284, 7b8d
15fb, b4e3
bcc1, b7c2
e33d, ea27
b89f, 88ff
6f2a, 08d8
2e78, 8ece
4d60, c531
02d4, 1687
0bda, 9036
cae9, b292
5123, d680
74d7, 9442
ed27, 3204
e844, bbbe
3563, 2563
567e, 4597
1d70, 1d01
b256, bf4b
b1a8, d8ac
f356, 45a8
7931, 1087
3121, ce21
0a99, 0300
a61e, 42f2
e16f, 031e
2ed9, e3dc
16ac, 30c5
612a, f397
724b, 5b48
e1a7, e3d9
3ca0, 15a1
af8d, 6fbe
934e, bc36
3c73, 3cbd
d9a6, e84d
cd55, c919
ee7e, 7968
b760, f9c5
c654, 87fa
7964, 1b77
f519, e6e9
34a6, af2b
a4c5, c11b
29d6, 3fb6
e5b2, e7ae
a969, 4c3c
4deb, 2567
191b, aae4
ba84, 6302
91a3, 711e
c697, 45eb
1fea, 5ddb
3931, 2ae7
958e, 14b0
4afa, 3f3e
141c, 07e6
4440, e8b7
3848, 51a7
ca29, 7ee2
42bc, 95dc
7e19, 7514
5e1b, 86a7
fc3b, 5307
5ffe, 79f1
ca64, cf37
18f3, a89e
7752, 44fe
0051, a685
2230, 34a8
c044, 0b22
ab60, 6a20
0bff, 5b79
7ce6, 8120
3866, 9f93
5e10, c097
f20e, 389c
78c3, 984e
c9a8, 6054
9dde, 4714
0531, b601
d4c3, 8458
6125, 4006
3d91, 7408
afd4, c86c
9837, 9091
d748, c621
a355, 1a77
861f, a588
05d8, 929e
b732, 568b
e8da, 67ea
73d2, 4022
a1e7, 1ea7
2b6f, 3669
d184, d1c4
f097, 82f8
6b1a, d7dc
0615, f6cf
5695, 61e4
a48b, 64b2
cdf1, 3fd8
7da7, 2e1b
0d24, dd8b
d63e, c7aa
9ff3, 9871
8e80, aece
6087, e298
5b85, 5dde
bd95, c149
c36d, 15bb
9a47, 8d35
0601, b531
10b2, 1b0e
dd45, 03c3
f0f8, 7598
79b0, c12d
49a0, efeb
061c, 6bf7
8193, 03a2
23d5, 0dd0
841e, fac6
314b, 12ac
0586, 8f01
b721, a35c
83bd, de08
80ff, 0d23
2a22, a64d
2148, e7a7
33f0, f4fc
55ec, b153
ff06, b06f
92b9, f38e
ae21, 6d5b
27cd, 5595
5183, 26b6
2cce, 0c4e
8776, b8bd
1828, 4957
e289, 0ec1
82dd, 3c05
f6c4, 570f
9e5d, 4547
d205, 52d6
aaa8, 346c
68a7, 1db4
1b40, 7640
088f, d87a
b195, 713e
fd9a, 7d74
b2aa, b434
e023, e032
c06a, 7d6f
f08a, 360e
87bc, 6bdc
fc8c, 7233
5f98, fee7
6e3b, c1d7
b8a7, 61a8
6e69, e620
9b1e, c418
0524, 137c
745b, 5d29
52b7, e3bc
9a98, 1b54
9166, 27b0
f330, 741f
8c39, 7a4b
88cd, 99c3
401f, 604b
06bc, b23c
661e, e61e
4ac2, eea9
2834, 076a
a7e2, 6712
ffba, e7fd
7f15, b9d5
8dc1, c7dc
bcd3, 01b5
073b, a586
d380, 2a26
4d71, 9786
7cf8, 9e08
802b, 5c7a
28c2, 1132
1087, 7931
adf7, a284
4411, 11a1
f9ed, abae
6010, 8117
7509, 7de3
718f, a66a
f662, 7d56
4567, adbe
720f, 9e3d
3891, fb26
d29d, c893
0f0c, fa26
8241, 983a
c0ac, 0ce9
bc4e, 5cce
f2bb, 2918
ac18, 13e8
b2f5, 0580
0fd5, 9f10
fa9f, 3cd2
f720, fa6d
8aaf, d5cb
4566, f2bd
a619, 1d49
5e5d, 2a37
14b1, 2558
a01c, 218d
10c7, 1bdb
789c, c841
7428, 6f40
114b, d3a5
3d6c, 6732
92b8, e81a
b96b, fba0
74a3, 60f9
072a, 1bea
819c, f1cf
fbf6, 5524
8e0e, 4e78
fd0e, 9c19
3b43, 0f0f
91a2, 7aa0
f368, 9bbe
153d, 6aa8
4a32, f529
1bc5, 7a66
a0cb, 60a9
75e9, 024f
5fed, 6293
e39c, 4efd
f69b, b400
942c, 967c
5b8d, 3db0
7630, c65b
aaa7, 6ada
d1ac, c604
7c0a, f154
94f0, b455
aeef, ec65
e271, 82ce
aba6, 9bfd
a6c8, 1fad
753c, c44f
db04, 9563
43a4, 400b
040b, 96fb
cb74, ade3
a1c6, 4aad
5ca8, e748
7aa5, 7cab
7f0e, 0af8
fc17, c9bc
42e7, 3a97
0798, 079c
c184, 381f
6e64, d537
12bd, 449f
5f12, b817
114c, a4c1
de3e, 6999
27b9, 8d41
169b, 775d
7e0a, 3407
30b0, e225
d60e, 28a4
40e4, e154
df9c, 6ff6
3c84, cc84
cbbc, 4596
5162, e559
a04e, f426
4035, 4581
81df, fc39
9e4e, 5cde
4173, ee94
aae0, fe96
af7f, 44ca
007e, 8d98
d2a1, 366b
77f1, 17a1
0937, 20c0
a17f, cb50
3ccd, 5755
7e7d, 7507
0d93, 5d8e
21ae, d870
af49, 05dc
9b64, 9cca
323f, dfd0
faf0, 2d77
30db, 1c52
35dc, 963d
add6, ae4a
0f63, af76
7328, 5c28
6c57, 5af8
7ccc, bd7b
81fd, fa96
d69d, d74a
7c66, 8c60
27bd, abd7
9e85, ce1d
1d25, cf1f
3fbf, 6807
2e35, 019e
e708, cc45
b3d4, df4b
d379, 1e82
c279, f0a4
92f9, 486c
2e6f, 33d1
6cd6, c143
22a8, d92a
bba3, d282
e407, ee7d
d6c9, ed4f
9557, e997
2acd, 78b7
5f95, f8fb
ef22, 6720
abb5, 9471
7601, d4a9
3929, bb4a
ed00, 91b6
7b32, 9bcf
d2be, 7389
719a, 3d75
ff52, 2b09
a77e, dec6
875d, c685
bec0, 949d
c284, 4b35
b3cc, 3579
fc68, 9437
c72e, e3fe
66fe, d62e
319b, f8e7
1419, 0515
9166, 27b0
e650, 90a7
99c3, 88cd
5821, f59a
63a4, 23f7
4808, 7ac2
f363, aceb
223f, 3339
2464, 0c6c
fc48, 20d4
4d85, b021
02e4, cf5a
118e, 2822
be95, bba9
ae03, 92b2
097c, 1307
df54, 2547
a6b0, de2f
0c14, b81f
f0b8, 873f
aeb4, 9209
11dd, 9c25
054a, b4e4
6e28, a128
ed21, f15b
abd0, 3cbb
6786, bdbb
fdf5, bd89
70a4, f014
8377, 8355
f2c4, fdf1
aa90, 149f
6e1a, 1313
4c3c, a969
9af6, 9eaf
69de, 18e3
9c17, 3545
614e, c133
91ac, 91f8
639a, daa3
c299, c288
3324, 4df6
3272, db70
aa4e, 4a1e
f81a, a977
163a, 37b4
7541, 78d1
aed8, 9267
ed4d, 1ff8
7a3d, b558
2a78, 1d03
fb54, 4b39
336c, 236f
3b89, eb77
a97e, 4888
b814, b1c9
c061, bfaa
2104, bcef
3e9a, 3c7e
ef71, e988
fb3b, e1f8
ef13, 5fce
36a7, dea8
0045, be72
5cf1, 2b38
1be8, d191
abcf, db40
574d, 47e1
4e43, 2ab2
2168, c9ae
cc30, 883b
f8dc, 56c0
c66c, 3a6a
2072, 5002
c2ef, 6fd8
20a0, 5939
e24d, d0a6
65ab, c754
25ed, 003d
5f98, fee7
1627, b14c
be67, 6be7
0e15, 26fe
73d2, 4022
4e0c, 8d50
a578, 86cf
5385, 7c1c
6522, d50b
e498, a5e7
1d3d, 4917
2bb5, 558b
1898, 17f1
e989, fa0e
e934, 12cc
b98e, 79df
8572, e371
eb34, 8804
5649, bd19
fb4a, 1579
e26c, 21f7
5231, babe
95c9, 3d2b
a599, 4b78
ac9b, e515
da17, c675
3a7e, 4822
38e0, 636c
d381, 6a1d
921d, a276
c3c9, 8289
5d61, 85fb
3324, 4df6
30e0, 0a47
11e6, c720
a84d, cfa6
7842, 152c
1944, 281c
8f5c, 0441
013d, 9e43
03b2, ad94
1248, 8330
3a22, d3b8
7c48, 4d02
8956, 2796
ca68, 5691
bc0b, 0df9
eadb, f44a
3338, 737e
cb23, ab8a
8ea6, ba3e
96f4, 8674
aa4b, b3cd
5f93, 572c
4ce4, dd61
7b32, 9bcf
16f0, 6418
960e, 91c9
e96c, dfd4
561b, 23a2
e92c, ec34
3d87, 4d07
bf1c, 7376
c6d0, 0a91
43e5, 9576
ba3d, 96cd
c794, c4ca
0641, be44
36ee, e62e
d0f6, 36ce
ea1b, a9d1
6751, 616a
0377, e3ca
b852, eaae
aaf1, 5bb3
0fd8, 3fba
cb96, aed9
bb87, b14b
a8d6, b59e
deed, 79e7
f5bb, aedb
0132, c43a
ebac, 1467
9c68, fae7
7383, 35ec
59d2, 92a2
2e5b, 9d54
e740, 03da
1b00, 180a
66de, d6be
00c6, f81e
e2ef, 3f65
8fb4, d56a
f66b, cc85
1c93, d12e
d8cd, 39c3
f139, 716f
9221, 0821
1c49, 2d75
fe0e, e50c
5ce2, 47a2
40ce, 2f99
d002, 0002
cf3c, a8e1
f468, 7a69
5348, b6a8
57db, 2395
a6c5, ade8
7440, fc42
05ef, 342a
327b, dbf0
e903, 2fde
25b5, 0bb0
bfb8, b959
c15b, 8bf6
720a, 0fb4
9bd5, 46d5
8092, e674
b615, 4b7f
2c91, 5037
b620, 9654
a080, 0c6d
6087, e298
8d1b, 7f55
5067, 9939
59e1, 3829
