95d2, aab0
0ac5, aa18
9a87, a64a
8892, 0e0c
c16c, bfb9
fb51, 4a89
c200, 4120
a41c, 0c01
0c3e, 8155
b329, 48c3
10b3, f403
60cb, 3c06
9b8c, 0044
ded5, 2dfe
085d, b93a
906c, 6381
3fd5, 4dfc
1c8e, 381c
0a45, 3a95
a832, 718c
d911, 9333
2a3c, c084
b9e1, 4ac0
4fa4, 47c2
d13f, 863b
08ea, bdb7
ed75, 1273
c2db, d53c
b9b7, 05f1
773a, 7738
5c27, d39f
6c06, b39e
0d17, 47fd
ba65, dc21
42fa, 822e
b43d, 2888
30d2, ebe1
7fe5, cab5
5fdc, cd7e
7dad, e288
ae9f, 867a
866b, 64a9
45c5, 4ac5
0063, 2e55
2763, 30af
4773, fa20
d889, 3849
9fb5, 92ce
eee4, 570d
d799, 2746
d7c5, a229
0455, ae6c
11bb, 011a
e201, a812
fa9e, a966
9bc4, ab09
741d, 7ddd
2e2b, d2fd
b008, 5261
768b, ada3
54b8, feef
2bee, 91c5
90e5, 3835
2b1b, daba
1163, c974
0020, a652
ea24, d256
2fbb, 6373
1334, 14ea
5d1e, 06d8
3fff, 622b
8173, 1c5d
9b20, decf
7859, 6d4f
a1cb, 48f7
3a12, f248
5569, b639
026f, fde9
fe88, e4e1
f64d, a423
7b04, f8f1
522e, cb80
5bb0, 2120
864c, 864b
4c8b, 2088
d3ed, 6bed
3738, 4cb0
1325, 4df3
8d63, 4a33
ac94, e68f
5155, 8cac
e5f2, fd51
c7fd, 0f5f
e2eb, 6258
c08b, 0137
7767, 5b1e
0e4f, 5582
1e52, a5c2
f8f9, 16f0
e5b1, e91a
b0c5, 2d69
8693, 880a
78a3, bfa7
e432, 0534
4947, ff40
1ba4, a3e1
95b9, ffa8
353a, 807d
eae8, 57bb
05e4, 8710
4770, c164
cd00, 1a87
6405, cd09
c138, edf5
c154, 06e2
38da, 1a3e
3d87, 11d9
4fb6, 1499
b436, 7ee0
64e9, 520c
4435, 704c
1a19, 9adf
17c1, efbb
a8d8, f08c
a252, e452
6a2b, 3d26
c2e6, 816a
b666, 6605
ff7b, 0dcc
d251, 6a4c
d448, ca30
f40e, 3144
2e7c, 4c18
df2f, 16bd
11af, 8096
60d5, 8542
9b87, 8ef2
7d26, 024c
7e08, 81aa
6adb, 92c2
6849, eb8b
eede, 5229
39d1, 52c9
e8e9, 80e2
694a, fc66
9ced, 2036
1f33, 6bcb
13cc, 1564
a78d, a102
f57d, 704a
9e1f, cfcd
73d2, 2765
bdee, 182c
61e3, 7460
2e05, 11e1
b592, d192
e733, 556b
f044, 70c7
db8b, 77c3
1868, f52e
7857, 427d
065b, 64f1
8eb2, f370
8139, 0a81
1579, 38bf
272a, faae
093c, d77c
3361, c72e
5452, 6706
4f70, 116e
3bcf, 9515
6c9f, d9bf
1f14, 4c81
514f, c11f
9632, 7235
cae9, 95a0
0b6d, ebe5
9640, 1c87
1ea4, 5bd9
9c28, 3f0c
f399, 35b2
4667, e454
90af, 78d5
e8f8, ee8c
d6a9, 33ff
8fb7, 7a66
3179, c883
428e, c755
6d7b, 7295
8d1c, 2f7b
89f8, 8ef9
b1cf, 738d
41ea, 6527
0a05, f0ef
eb9e, 681c
db42, d4d2
b8bc, 4e48
a73c, f421
22a1, db94
5d17, 54bf
196f, f7bf
312b, d74c
3dcc, b2f7
7630, b816
3ed5, 4331
48c2, 5d4f
4ffe, 1ffe
1968, 658b
62da, 3175
958d, 953d
8f7e, 32a5
fcda, 9cd8
fd2a, 909e
da27, fe8d
7ce2, d0f8
5bfc, 7b5d
b1ce, 6c2f
94c9, 3cad
8eff, 252d
75a9, 6789
0499, bac7
fbf6, f7db
b94b, d171
26b5, aacc
b535, 4524
ec5d, 07a9
66f5, 5676
a4fa, d9cf
5f1f, 3675
f6a2, f6d2
b664, 0069
e9e3, eb93
ed5d, 9ba2
aabe, 1897
b116, c081
139e, bd32
9550, 8774
786a, 915a
3b98, ed0d
fd07, 212e
e210, 2d96
9374, f9b7
b92e, 6a28
cade, 4dba
a7d3, f10f
c6cc, c836
82d2, f1c2
3bf0, 6873
c00d, f671
eeff, 12ea
5c87, e373
7b6c, 64c5
6b7d, 22b7
88a7, 75ad
018a, a6ac
4104, 8719
0df5, 0f7e
dfec, ec39
716e, e656
fab5, 9d78
142e, c341
447e, 16a7
2464, 82e6
1a13, 2ed4
479d, 73a7
af4b, f391
1f4e, 10ea
a44f, 6a69
1d1b, de2a
20ea, 0291
c8af, 3c46
fd26, 1d1d
2912, c70e
c484, 434a
733b, eb3f
953a, bab8
e0ec, c7db
6e22, 88f5
9b2f, 84de
7a80, d88f
f108, f583
e64f, 0588
03c6, cb4e
3e94, e50d
3c1d, ddba
e15f, 60c8
5d04, da83
c3bc, c5af
d083, af3c
11cf, ce3a
8329, 2299
9147, e830
07a8, e505
ba59, 7262
c224, 4446
256a, f677
bb5f, c45a
83c0, 5c98
23fc, 3839
ae48, ff42
73f4, 39c4
bdc8, 5b94
4949, 1406
72f4, 6b33
6254, a028
789b, 3789
6a5b, 4596
fc59, 6591
9f14, aca0
af41, 2013
0a47, b92c
221f, 1197
00bf, 8567
c7d5, 9e44
4781, 57bd
150d, 3cd3
e05b, b4cc
62ea, 87c5
cdc6, e7b2
8f48, 5837
45fa, 2654
0ca2, b6d2
ec97, 283a
d06f, d36a
29be, fe7b
ab5d, 04da
c05d, 02aa
b1f6, c4a6
b398, 4b5b
1e49, 0e06
12ce, f5d0
75b2, 401c
dc5c, 2ba0
343e, 8394
ce71, 41b0
8184, 25ec
50c8, cf35
ac34, 8fb0
4c2d, 7dff
c18c, 00f7
38e3, 1d9a
9bd9, 4e19
060d, 58ff
d169, daee
8656, 5e08
1e9d, 2513
0296, 290a
8777, 4a11
7c95, 33f2
d1e8, 18bb
444f, 428d
5eb3, 2a0f
f7ff, 22d3
a0b4, 15a3
fe4f, 71bb
5536, dd39
c272, d404
2075, 4d32
d808, 050d
8caf, 5db3
1bf2, f734
61a8, dfc3
5c04, a3e7
39fd, 7b41
e750, 6694
f186, 459c
8c19, 2169
d168, 71ee
4129, 5671
cf9c, 2827
49c9, ce85
01f5, 4593
4a96, b068
7b14, 7d9b
cdd5, 96f1
a852, b9e3
6d22, 11ea
f65c, 1e6c
fc83, 3fa6
911a, 7ab3
b532, 4814
8cbb, d2a1
eb6e, 0911
11d9, 3d87
7d60, 61aa
6027, bdd6
548a, 248a
7e87, f067
1037, c901
16f0, f8f9
7457, af53
0c0e, 465f
e873, 07a5
3d92, 9a64
5f0d, 02a3
8648, 864a
9bf6, 3c5d
6458, 3fb4
ec8a, 65d2
384c, 7e73
19f2, d386
63d9, ecc9
509d, 36f8
1dbe, f4f4
9fc4, 692b
6dae, 0a06
e0aa, 6d09
a8a4, 2632
fc33, 8d0d
56ef, 0ad2
329f, d43c
bb72, 2840
aae9, d939
2108, 3c16
d98d, 0fbb
aae7, 5f47
ef1a, d2ad
7bda, 3b10
e887, a00f
239b, eb98
63e6, dd7b
344b, e5c0
7fc6, 054c
2bd3, cc9b
9970, 9ded
99c2, cd8d
2345, 7da4
eb95, 5577
14f3, 634b
b40d, 9467
3e0b, 5f4f
c0ab, 93b8
4426, 31d0
419a, 3566
26bc, 9e0b
ca8b, cdff
8a6c, 25f4
2654, 45fa
b080, 20d2
5451, 17d5
b7a6, 1884
368d, b6c0
d62b, b55f
550b, 56a5
5f65, 4d26
76bf, bd93
f6d1, 91b5
d71e, 59de
a3cc, 924b
e552, 0434
f325, 7c0c
2e0a, cb0d
e8b0, 066c
2605, f526
3573, bdc1
7444, 6a21
4885, abeb
2e42, b84e
27a4, 5561
3f55, a8d6
f209, ca14
9a9a, 85da
842b, f343
9780, 1463
59eb, 4b43
09f9, cef5
3443, df65
2f11, 0a74
5105, d32a
bacd, 50ad
9cd6, c43b
52d5, 1059
4507, c5df
a661, a9b0
8372, 562a
e3d8, 53a8
5096, 8b71
1aae, cbf3
30ac, 4ba7
3676, f23e
fd9a, 5b9f
0e68, 447b
9cd0, e726
6d55, 779c
3b6e, a654
b882, 40eb
1bee, 46c3
491c, 06dc
f9eb, 18ff
7fdf, 8701
e4c9, e6b5
72f7, fe80
0247, 9f1f
af92, d852
e44e, d25c
2308, 8e5b
ff9a, 2254
e32e, 7c1a
36f3, 78b7
7885, e0d4
0153, a163
c135, bae0
6108, be1a
49c9, ce85
b31d, 4c80
96d4, c6a9
eca5, 093e
b234, 4d84
457e, a79e
f771, 98fa
f81b, dea6
693a, 4b14
2f9c, dcd1
ac69, 9f4e
1cfe, d0f6
b14c, 0f21
a236, b4f7
654b, 035e
4036, 3c8e
fe08, ceaf
9459, b924
c6fe, c225
f9fd, 1ab1
2538, 5353
45dc, 3d11
ff9a, 2254
64f4, 7118
f026, 726e
c762, 86ed
eece, 961c
8ade, cc06
b4da, f8a4
ba42, de20
b6ab, 2d98
75a8, eb1b
1b33, 3e2c
95f8, d295
8d19, 1179
4c97, 2ad4
9289, adae
271c, bb3f
56bf, 520a
84e9, b3dd
3cdb, e321
099f, bedf
6a41, 7b6b
0e3d, 4fa5
9648, 9894
bbf7, a08d
b636, 8e84
2711, 7fe4
eaa9, d953
d67b, 65b6
3284, ff58
638c, 4cfa
1abc, 9044
a8ca, 4238
9dc3, b08b
3f16, eaf0
946f, 9e51
c48c, c5ab
0044, 9b8c
5e8b, cfce
e77f, 6aac
19f6, 87a9
aa3a, d1f4
b57e, 3249
24dc, 73c0
cca3, 4a80
f303, 23cb
d9b1, 880f
62d2, 957e
18cb, 2966
f139, 6835
6f5f, 589c
59f4, 7be9
3beb, c2e7
c419, 1462
e38a, cf4e
4d41, 105b
2cd1, 1417
947c, 41ed
6013, 770e
13dc, 4a00
ea7e, 31fc
3cf4, a347
c2bb, 9538
bf6f, ebb7
9982, c6ab
4182, 52ff
7cd4, de90
a6e7, e416
307b, 0603
5dd2, b715
442b, 4835
d75b, fc26
313d, 41fa
cf6a, a120
6611, 7f33
992f, 6507
b7a1, 468a
128b, 22d7
1b7b, fb1c
0cbe, a846
21b4, 69ef
3c37, c28e
2cda, b51c
a5b6, 8547
17a6, 869b
ab2b, 8c75
9521, 2ec5
a57c, 8803
5723, 4333
7f9c, afd6
121c, 02e5
a269, ad76
46a0, 846a
831c, b33c
1a4f, ac38
d70b, d246
e63b, 3a74
6474, 8941
b6b0, fd9b
d7b0, fa11
3deb, a841
1338, a1ba
b89c, 70e6
9772, b6c6
f052, b9b0
8976, dad2
a5e5, 45dd
bc67, ee7d
dc67, f262
41be, c2c9
44f9, eb20
789a, 3af0
3f7d, 564b
be25, 338e
1560, 622f
e293, 3c00
1cc8, 9a91
6f3a, d052
92e4, 9d0e
bdb4, 5c0b
b704, 0c0c
d82a, 7d6b
60e0, 3344
1ed0, 0cc3
b55e, 7704
20e6, cc62
e02a, e020
8e64, 6506
755b, c6d2
8032, 041b
8e8a, ae98
ae07, fbc2
aaba, 3a97
0375, 6e49
d321, 38f2
e33d, f2d3
90df, 9760
ecba, a11e
dc85, 703d
6610, 1372
ee4f, 6ade
0143, dea0
c598, fbc6
161a, a65b
7269, 17f2
bf89, 4946
d3bd, 8872
fdd3, f817
24d1, dbc2
d65c, 69a3
2bcd, f3b3
9261, 46a5
db6d, 3c03
6c4a, 886d
4965, f407
62d8, b533
ec73, 5257
785d, 15ff
4644, 2fa5
a91b, af0c
e748, 0b60
0a68, 9c74
e238, 7d00
636e, ba7e
733b, eb3f
1882, 0ef8
da57, 156e
16b6, e161
f422, 2b8c
b585, 34da
d389, 7948
1541, b2f8
d3ff, 819f
b3ad, 1834
fd86, e4b0
594b, 4db1
fd5f, 1b75
c54f, dd1f
f753, 9026
c48c, c5ab
0d39, 109b
4df2, 7a46
e273, 7273
6746, 89ce
9562, c644
eaa7, 34f5
ffdf, 9cdb
cc78, 921f
cce7, ae5d
b75f, e539
bee1, 5e4c
2362, e163
b338, d135
ce9e, ab82
e38e, 7793
cd8e, 2779
e713, 1f5a
14db, 29bc
3f81, 9dcb
962b, c82c
d04b, 9136
f4a1, a58b
54fa, e662
7286, 7084
384a, 42e0
72bb, 75eb
e3f3, 3064
6f41, be69
eac4, fadc
984b, d6c0
ad30, e557
1196, d37c
d5c4, e45d
758b, 2f87
bf4c, 7b56
3649, 8feb
325c, ea60
38b6, e828
31ae, 9eef
f511, 21d6
5e75, e9d5
4a45, cff3
e1e4, a736
c11b, 208c
1fc3, eaf3
7cec, 7b91
6d17, 23f9
dc03, 35fb
8022, edb8
34a6, aca2
5d12, 780f
be4c, 3bda
67b2, 2cd6
cd2a, ab1e
1456, b767
ac67, f04b
c60b, 5463
be7b, f9ac
fc71, 2129
36e5, 2da7
9fd7, 4c5d
0cc1, c181
d94f, 5d82
3da8, 7f9a
3dd4, f161
71e5, ff1d
4886, b5e4
cbee, 6395
4fa7, f688
4b7a, aa0f
c2fd, ef9e
22c5, 2a9d
e3e8, af80
3179, c883
bf80, b449
b920, a927
d469, a3da
fb67, b395
c1b7, 2138
86a7, 41c8
83fd, 6f28
5b7f, 920a
56d4, 6a50
381f, e1b2
0e7b, 8e7b
091e, 2937
d522, d52f
3d40, 7322
6582, d9cb
5d9c, 124e
ef49, 71f0
f932, 9349
bd3d, 5d2a
ea7f, b909
98d1, 901f
9a04, aec5
7921, 45fd
b97c, 3f4b
4689, 2692
9be0, 4294
53d9, 13ae
3911, 1be1
4b12, f9d4
9393, f08b
207f, d72c
725c, d40c
4c9d, 24fe
169c, fad9
c0e1, 5159
02b6, e0bd
999f, 3952
1550, 55b4
b25c, f97f
7dd3, 7d83
3505, 15ea
f5e2, da20
cad0, 47ae
6696, c0cb
2ce4, acbe
289b, cd91
870d, 4272
d88e, 21a1
64f5, 2132
3735, 60ac
bcd5, 596b
1fcf, 9c88
79e5, 75ed
135b, 6f59
ed77, 4cc9
221c, de7e
dd3c, 19fc
8c53, 4ea7
5a73, 26e5
06e8, 16e8
6586, 4251
5b98, 5b74
f43c, 4e11
0368, eb9f
0853, 59b1
c720, c50b
4d78, f2c6
8e32, 0eb1
7e5c, 797a
c3ef, 5b8b
c4a7, 7726
3956, fbeb
ae3b, dc59
a3c7, 51ba
cad3, 067f
0b9d, 80c7
3c97, 4269
2b8c, f422
699a, 9b22
49d6, cd49
76e6, adc2
8299, 5d6c
421c, 19aa
26f7, 5730
f669, 5fb6
1b53, 42f3
3ade, 52a8
f4f6, b719
9190, e35d
2409, b696
0e3d, 4fa5
9489, 4de1
1554, a8ae
6133, 5504
9876, 573a
59da, 2c16
c774, ebf3
a862, f021
245b, 5a95
08f5, 263d
7936, 1121
7045, 23a1
f0e5, eb26
f690, d9e0
90a2, fe0f
9e49, 1ce0
aac9, 2de7
e744, 11da
c153, a5de
2639, cd81
4a56, 4607
ab24, c87a
b829, 0e47
f5f9, 3fea
669f, 5535
0323, d6c4
2f4a, 67c7
c166, acf8
7ca0, df61
1894, 24ea
8aa9, 34b4
dafc, 2d3b
e83e, 3e20
a5ec, 8c45
345a, 7a71
4410, 1a92
68e4, 5a09
5471, 4601
e488, 3350
5eb0, ce4f
4a6d, 555c
b555, fe78
53a0, e2c7
6630, f5ae
7eb9, bb8f
fd1a, e645
a269, ad76
5145, 26ad
7553, cd07
0599, 76ab
3751, 1ab2
8433, a6a1
95d5, f901
4451, 0e6f
48cf, 8696
4521, 556d
f877, d47e
f74b, 490d
36d9, 7ee6
3422, 8c93
86e3, cfa5
d99b, 5ab3
b4f2, 4ce7
35b8, 8fc0
cbfa, 49f8
cece, 8905
b385, b5fd
3047, de1f
e5f9, 238f
5b18, 4be4
d958, caf3
289d, df9d
9177, 8399
ee3d, 63c7
a755, 3805
85f0, bd74
182f, 3cf2
cb2b, a821
47cb, 9f5f
2912, c70e
1e38, 86b8
1c6f, c710
e0ee, 8bf9
e1a1, d856
0657, cb70
7441, 47b2
2ffe, 716c
cf2a, c68e
4444, 36d7
0b5f, dd2a
f977, ec21
6852, 9217
3812, beeb
acf2, 2bc2
4b32, 58b7
d399, a767
c8ed, 56c3
fbf2, c966
f387, b96d
e807, 832b
0a7a, 89f7
7990, 98d7
1617, 985c
5821, 22bb
c892, 12e6
f2c8, 35eb
6c6b, 5b37
a6d6, f3f3
3cb0, bcae
66bb, 8691
d1b0, 7148
9681, e91d
bb05, c96b
1913, 57d0
bd31, 4ff5
a328, 48a6
f3c7, a3b7
0add, 623e
ba01, 42f6
f018, c32d
fe27, 49da
e583, e608
6d36, 2f7d
45f5, 8b4d
2461, a016
e72e, 8e1a
4988, 5e23
1160, f160
9437, f6fb
cbf5, d891
c585, fdc2
7b97, 8307
4db2, 4f1d
2736, 24d7
ecc0, 49d4
d7fa, b69f
58d7, c6a0
ddcf, f053
8457, 4f78
9856, a9bd
fd31, f931
c900, 2adb
df37, 7075
ff41, 935c
8106, ce2f
1f08, 96b2
9f31, 8666
85b2, 392a
c8f2, 839a
d08d, dc9e
3085, 8d22
e1b8, e3b4
be6d, 0d4f
4749, 0950
1a4a, 4430
5afe, 4427
ba61, a3b6
7ad0, e2a3
cdd7, 4081
60e0, 3344
f382, d6ce
5dae, 3d61
e00f, 73d8
dc18, 3870
be1e, e395
a621, ad51
243e, 0e4b
b34a, becb
871e, b1fb
d943, 025b
3b12, aafb
7bec, 1853
84ee, 2afd
42d9, 7182
9da4, 4654
4cbb, 0eab
7936, 1121
27ba, 0353
1d05, d971
6f27, 431f
a11d, 54be
be33, 7f21
bcb6, 4520
fd94, 236f
c5cf, 2107
31ee, 358c
8cfe, d921
352c, e925
580f, c6ea
ab18, 8a04
fce5, 49a8
c40b, bce1
f767, b5f4
fd1a, e645
491c, 06dc
3158, 87ab
d4a5, bb8a
fe52, 3f54
c472, a69d
0a3e, 3946
c313, ec05
7f05, 1d3d
af7a, 973d
4bfd, d282
340d, 6c8a
be60, b0e8
2273, d274
a6a3, 5aef
ac24, d490
2be0, 337b
4d48, d36d
699c, 1b28
63cc, 73f7
6506, 8e64
ca65, 7626
5b20, 57e0
4805, 1a01
6cf3, 7a19
8760, 34b1
770a, 9e2a
dac8, 8054
ee21, 4c2b
c6d0, f02d
b662, 2b98
fcf4, 298c
86f6, 2950
a0b9, 476b
500d, 4225
bfb1, fe44
4c82, 172b
47f2, b688
cd2f, ad5f
d0fb, 7388
c941, db79
6708, 7ff9
0906, f270
79f8, 5016
6b6e, f6b8
70c9, 3f41
1160, f160
d564, 69d2
a899, 1c12
20f5, ae99
e26e, f52c
6e2d, f143
858a, baad
b05b, 7541
03ab, ee04
a17b, 137b
5630, 2f74
144d, db0d
117e, c10e
3ee8, 63b3
27ef, 5f03
7c31, e786
7593, 9700
629c, b8eb
ce6b, c13a
73cf, e51d
6461, 03bc
d24e, ad1c
177c, 0db6
12eb, 6eba
7184, 9d9f
37ef, 9179
ead4, 8149
058b, a631
7722, bf50
befe, e618
0e07, 10d9
b492, 9dfc
3989, 9075
46d3, 4705
955b, 1621
7fd4, 22fb
8fba, 01c3
ca37, b506
6722, 6d37
9b86, 4b39
fdc3, ce92
7833, e24e
3edb, bd8d
10fc, 870b
1504, 06bb
7301, 5fb5
a85e, 7cd0
10cb, d8c7
cf34, 54dd
491f, 7651
15ef, 4e04
0ec5, 074f
fe61, 30f6
782d, 5b4b
6df8, ff91
d3d7, aba6
4229, cdfc
694a, fc66
1ff6, 8c9e
1e88, d0f4
2925, 4ecb
72d6, 7e81
c25d, a2ed
76d2, e5ba
744a, 002b
99a7, 2c6f
c443, 9f58
b612, b61f
c91d, d961
b9bb, 743d
78e4, 6db1
d626, f5a8
16e0, 8be4
2d95, 9049
5abc, 9a65
42b2, fe66
53a6, c41b
591f, 25c4
783f, 87fc
b7fb, 2147
5405, 417f
2025, 33a6
c473, 9dfb
4a1c, ad75
55a5, 0046
a800, 4c1d
032c, dc5b
d053, 02dd
0f9d, 7f4d
8283, ffa2
c362, 7eca
b467, cdae
ef69, 3290
39a5, 7aed
2eff, f761
a09f, c619
d46e, e2d7
cb32, 4231
9e40, 374d
b441, 9162
ba4c, 9b93
34c0, cbb3
9099, c0fa
3edf, 7e29
c2ba, 2ca1
22a5, 0994
1b52, fe37
954b, cbd5
c309, 59b5
3763, 8763
abe4, 91d8
e3e2, 970b
ba1f, a1d7
2298, f5d4
6e5b, 1663
a023, c19e
abad, f51a
9775, c981
924b, a3cc
6e05, 5613
2e71, 1193
3682, 095c
5513, df73
76b0, bcd4
1e40, 6a70
97b4, ccac
04b0, b153
ec14, 585e
a0da, 7e32
454f, 1009
f469, 0fd6
75b6, 854f
c55b, 8c36
a31c, ab0a
58ab, 1729
fd85, 7933
a43c, 0d05
cbb2, 3645
bff1, 35f8
bb5d, 984c
14c9, ebbf
cd6a, 7d61
bfbd, 0c8a
2a0f, 5eb3
9559, d642
0cf2, e636
656c, f491
310d, e25f
f353, 0efd
76d9, 5ca4
08a1, 2017
add2, ca66
aece, 60b1
34b6, 98f7
829c, 5a2d
6c24, d8d8
0682, 45b3
b659, 8afa
67ec, c70a
b779, 5ee9
a52f, 81a0
3f47, 8f41
00b8, 2024
5703, e1e6
790f, 2e69
36bb, 22f1
5804, 1fd8
b0e3, bb92
2246, dcf9
c175, 01ae
c530, 5503
47ce, e35b
c907, d358
938d, 7f68
7f8f, f1a7
6bcd, 16dd
e8a3, 01fe
de76, 2f20
7eeb, ffb6
4e54, bce0
9c26, 041f
e008, 766e
b702, 3af1
8e43, 417e
14dd, d4ef
d14b, 45e7
ba38, 3c26
4fd4, 4c41
b660, 9ed8
5b73, c608
0dfc, 9186
1e32, 583b
0e59, 86a6
e3d0, faa4
237e, 511e
b81c, 6b9f
2adb, c900
d54c, 4b35
e8f9, 73bb
0e61, 187a
ab85, 51e7
9da4, 4654
a680, e267
4aa4, 9f8e
b536, a9a2
a1c3, f541
5335, 5904
92f3, 4bf7
3167, 9ff7
2770, b554
149d, 6583
0895, 3761
cb19, 4f2b
2a4b, 336f
f058, 25e4
1688, 1bf9
34fd, 76d5
da3f, dc46
9559, d642
8273, cdea
a236, b4f7
f252, 33ee
efb1, c9cb
66a3, 9de9
224f, 1177
7d69, 2d89
273d, 6b3f
12ed, 5d6a
2319, 5ed5
5042, 29bd
cad3, 067f
b339, b11c
f0a6, 4bba
c24a, 14ae
cb7a, f7e1
98a0, 7fae
9853, 8e5e
9952, 02cf
f02b, bd23
8822, 8b2b
89b2, d6a7
2595, 0832
ffc3, c501
40ae, c88b
677d, 7437
d253, a822
0041, 5f78
9dec, 3d18
1374, 140d
9bc7, 21ca
1990, d583
6a34, 8c5f
cc9e, 0738
5023, 58a1
fc65, 2a46
726d, 5cec
6439, 8c2f
5d97, 66c6
6366, 58e4
7b24, 50bc
2c53, 0ca3
786f, 3a04
b6dc, d984
7021, 1f2e
b451, 5ae0
8077, 31db
ef21, 9c18
5eca, 924e
67da, bf08
6507, 992f
a199, 05bd
fe74, 4184
6e5c, 2dba
4423, 5f24
dab1, 3595
5b1c, d5ed
1277, 8c7b
5472, f210
0e07, 10d9
d43b, 12dc
4e57, 2f2f
352a, 287b
98a5, 7c78
21ab, 5b35
f2ec, 3351
9f55, 49b1
54d3, d7ee
9396, 273f
6ad8, 574c
fe03, ace4
5894, ef94
a44e, b694
c2e7, 3beb
21d0, 9fc3
dc71, a426
c882, ad14
c413, 9307
c876, a535
7b52, 567c
0738, cc9e
9f5b, 105e
d326, a9d2
bb7e, 86f7
7f5b, 8827
f39a, 1e4a
0103, 4c55
511c, 968e
47da, 93ee
9f2b, 88b5
d6e0, 9d6e
b299, aa95
397c, 020e
fc7e, e0ea
e0f2, 7e7a
92df, c790
95ef, d8f8
c75f, cb31
918c, f77b
d45c, dc96
e0cc, db70
e504, 7406
a938, 4b44
61aa, 7d60
42ba, 805e
51db, 0280
f017, 1376
a472, 2204
bfe3, b7ca
6c33, a5ca
b66b, c3e1
c109, ef51
c1d8, 559c
e8bf, 20de
f95a, d493
405c, 91d1
1f65, 6d07
7d33, e193
b937, 204c
c968, 85be
50d9, 6352
7c14, 6d8a
55de, f8da
f3bd, 4883
a442, cf73
3a9d, 105c
67d3, d59c
4423, 5f24
072c, b95a
f213, 5614
ab0b, 1b8c
8dd8, 34ee
8bbb, 4fc2
b69b, 2626
e81b, 50ea
ace1, c636
c2c1, 8929
c808, dd3b
1477, f594
5c85, 79db
189a, 2a6a
a83e, b600
26d0, 1e2b
e4f8, 89a9
e37e, 09c1
e96c, 576b
07f4, 5e66
d763, 8636
a522, 9bf5
99d3, bb4e
812e, 79f9
c6df, 724b
08fd, 8b2d
0b89, c56f
3bb2, 9593
d202, 7d3a
550a, b2a5
d814, ade7
5801, 3ab3
573f, 90f5
afbf, 70b4
228b, bce2
8b0a, 67a0
d77b, e16c
a05e, c7ff
51ab, 501b
a37e, 3138
94ef, 5954
52ec, 15cd
19f6, 87a9
05f4, cff8
a3c9, f9a2
3862, 0012
f735, 2852
fe16, f97e
e542, 786c
8018, 6f78
1528, b94c
0b77, d2b9
405d, 66a4
c695, 2787
f91e, f077
68a4, 8fd6
536e, 55c0
ba16, 250a
b88b, 29f0
8bf6, 3e77
5f19, e4e9
880e, 0b4c
cf91, ad50
4018, ca31
ca81, 600c
d335, fb5d
4612, 1d7a
ba70, 1c9d
5f74, d63f
8d87, aea6
00ed, 765f
c3e4, 25cb
0cbf, 0177
c045, bd7b
cb32, 4231
0379, 9e19
54c3, 9a14
668d, 16cd
5a97, 3db7
1728, 228d
5beb, b22c
5f09, 5885
f94d, e602
45a1, 3f42
7482, 612a
a2d4, e3b1
5def, 5875
0525, ab1c
be55, 7139
b95f, f276
5b0d, 1db5
6a42, 38a4
6145, 7104
9356, f14b
8625, 21b0
7564, 25c2
6b90, 53f5
8a58, 14c4
005a, b772
60ac, 3735
b93e, 9e54
ab11, f724
bfcb, 116a
83c2, bb9b
5ffc, 1099
d451, 0376
f0e0, 7b2f
2fdb, d123
c12d, dfdc
de00, 5249
442d, 6795
f0ab, f3b8
e319, 7b71
0c0d, c2b9
c464, 82f2
84af, 39ba
a2c5, 5bb2
3243, d082
0f2e, 8670
efc4, 5f2a
460c, aed8
5f97, a28a
da96, 10cf
f32e, eb43
9c95, ca7b
8481, 24e4
0b49, 3aa8
fa92, 3620
8463, f5bd
70ba, 4984
b657, a891
c78c, 44aa
e9fc, a0c2
8f60, b961
98f4, 0a46
3499, 1f29
0041, 5f78
726a, 308d
2852, f735
18e2, 4ced
9ff7, 3167
2cd8, b5a6
728e, 54ac
d812, da82
193d, 5a9e
888d, d5f8
0f27, 255e
eba0, a5f2
d05e, 4c2e
4b50, a21c
4ddd, 1e15
a565, 0d6c
5562, 69aa
58c9, 19fb
7c7f, 643b
c119, ba0e
db77, 0b3e
1d9d, 8f18
d338, 44a2
4c74, d4cf
4cb5, a2e8
45aa, f860
347f, aea3
7948, d389
0719, b7d0
b817, 92dc
b62a, 6a0d
c292, 988b
ccc2, dcee
2253, f269
f8ab, 108d
6f26, 7397
d6d6, b731
58c6, 08ba
01b8, b8e0
f561, 68d2
e113, 819c
f86d, 71c8
9596, 5719
6298, 8355
d072, 9047
12f0, a7f2
b862, 662e
810d, 5248
fbad, 1f91
7d1f, e68d
55c7, 7f6e
39d3, 76c2
dbbf, e96a
0c68, 8a63
c0cd, ad78
b6f6, 95ab
b6b2, b838
75aa, 5937
8234, 4a22
7e54, 7359
f68d, aedc
6e47, 32b3
becf, 6ecf
0f37, 9a35
63e2, 50a9
f805, 6a01
afbb, b301
6deb, 46f3
a934, d3be
0f62, 9530
0ae2, cf6f
738b, 7b16
6a0d, b62a
f456, 2cd5
4679, ad9c
e75e, 57e5
a537, aa3f
0d3f, da6a
e0cf, 227b
8dcb, e7b0
b34c, 47cd
8631, 6e32
8ca5, 37e3
1d40, b505
2081, 684e
adf5, 4eed
42f4, 16d1
8da5, 314e
8ebc, a869
