a56a, d5b2
a865, 6468
e3c9, 0cbc
0ddd, 6f07
3354, f05d
ce96, 1795
6928, 6d0f
3734, 1b8f
7692, 83e3
d6da, de87
7963, e48f
66d0, bd21
3164, b139
9a04, 2a9a
32b2, 3f63
820b, 4fbf
df31, f8df
f5f9, 6059
938a, 8451
da75, 9789
8947, 4f1a
42f5, fb51
76af, 71c2
1cbd, f1e8
7f1d, 88f5
65ac, 14ae
8877, 2c6e
a4cb, 7d9e
f259, cc84
b20f, 0a41
8b5e, 8e5c
9d67, 4de9
d799, 6180
0e0f, 109b
de44, 945d
c2b1, 077c
838f, 34e8
b747, 40cb
b76f, c2c2
cc58, 2232
96bb, 9d55
3693, 0b34
5f0b, 1b3b
2284, 540a
17b6, 03d8
9931, d28c
c31e, 0841
cfab, d111
167f, 2d21
104a, d56d
19fc, 0e4c
6405, 321e
ea08, 4b3b
4088, dbbc
5453, 813e
e209, 2122
4d39, 4831
7083, 1766
aca3, 9abc
8eb9, a6f7
5ee7, aa0c
b541, f530
8bfa, 56f1
35ef, 85a1
5487, a639
66bf, 23b0
a8ca, 8eb5
6540, 96b5
70a3, d45f
e8d5, 5f16
e242, 4a5c
7122, c162
539b, 334b
d283, 7283
f9f4, 0431
51aa, 5c82
7237, f90a
3917, 53a7
cf9b, 559b
f2e1, 4ae1
77af, 9708
7978, cbf2
4b9d, 9b98
049b, a84b
72e3, 5aed
2a61, aca9
ce15, 0f47
e28c, f719
5ef6, dca5
fa5c, 6194
db12, cb74
bdd6, 0cc6
b4e4, 3a54
91d6, 7950
b43e, 17ac
c9fb, 7b1b
7bba, 5050
494b, 9a1b
9f49, 50a8
cb1f, 99e7
8e03, faf7
f529, 6cf5
1268, d9ef
c206, d80e
b045, a91c
038b, 0e01
d563, a46d
0c0a, 4a5e
068e, 16af
441b, fa7e
7bf8, a42b
5745, b083
46c0, ec2d
1635, ffb0
b17a, 4222
e1bb, 4e5f
6ea1, a771
8f7b, 5f70
882f, 53b3
bc21, dcd6
b3d6, 6d03
a701, 7457
9f40, 66b1
8ab0, 59ea
b78b, fe37
bc26, e524
8d18, 4f93
6609, 08d8
8d8f, 36e6
d3ad, ac66
f245, 4f65
6f83, 3f26
6857, 75f8
74fc, cffc
f1d2, 15d6
0683, bdf6
161c, dc4d
acbb, 8765
66a4, e46e
b689, 1c46
3910, b113
8225, 88eb
4b53, 8db4
c50c, 5881
9147, 2597
1173, fa81
72ec, 7ba1
c8b5, 59e4
a372, e9f0
17f4, ea87
57f2, a46b
5fe6, d992
f72c, 1c45
798b, bb2d
e669, ae48
51f0, 79f0
77d0, 02bc
8058, 6e53
4e3d, 91f8
ef21, c46c
911b, d2f0
b802, 6849
38c5, 42ed
2cc1, aa4f
98c6, 1157
1644, f495
2adc, f181
8bf1, 5041
23aa, 1ab4
6ea1, a771
61a6, 757e
47fb, 502b
3556, 8567
5b46, 0955
3e57, de8b
97af, a708
2bd1, ecdc
0a82, f592
2e4d, eb6d
ae13, 65c1
39df, 6bd8
96ae, 1dac
7486, 5575
c051, d8ef
cfff, d77c
ee8d, e913
2e2a, d27c
31cc, a182
2a72, 4a19
4dd2, b282
ef3f, bf2d
7a0e, 1b05
7ee5, 266f
a428, ac45
1f39, 4f09
c107, 1147
481a, 1ad3
484d, 7bd4
6176, ad6e
f26c, 3ac9
d07f, 5e83
1ca5, 4371
8825, 4fd8
f524, 65c4
31db, 89ed
bcf1, 9183
eb1b, 217b
d4b9, d6c7
67e6, f89a
1724, 91f9
7392, 36b2
6c85, 373c
d2e7, 48f4
1111, 81d6
ef36, c597
7552, 8c3f
43ff, 4d6f
4b7c, a60e
9221, d04e
1e92, cb07
b116, 28bc
9f22, 9365
8617, e688
e842, 6324
038f, 882b
1088, cde8
1224, 7eb7
1a75, 927b
9d6c, 96ee
2247, 5950
9ae3, 0c97
cb80, 1030
617f, 24a1
b45c, 6b7f
6857, 75f8
2ae8, 1cec
5c86, bb3f
1ac4, 697f
05ea, e4ea
274f, ef56
c051, d8ef
c4ca, da09
93ed, 3e5a
84d1, d157
7037, 6051
7991, fcc9
adc0, 81c3
a6ca, ad92
98b9, 8918
41f1, 937c
dc1d, 483c
7f2e, 02af
727b, 8105
1a01, be70
5cbd, 0fd2
5515, b56e
1bcf, c568
f515, 441c
5d75, ebcf
7066, 6a16
e7d0, 8db6
87c6, a736
c4b4, 392c
506b, de69
0485, 5f09
ab4f, cce3
1660, 8668
595e, 67db
c09d, 56a9
7219, 6610
02ef, 63d8
bf1e, b9b5
73f1, 0e8c
f202, 261e
3695, 8608
bd2a, 00b0
220f, e3f8
f77d, 07d2
b8d8, 82fd
1bb9, 383c
2f01, e2f1
2be5, 4055
8379, be01
88a2, 447d
0b34, 3693
b3c2, 6be3
f4d8, b514
bc99, 1b2e
891d, bc73
65d2, f0f5
5063, 706a
c1c4, 039a
ad34, 4743
98fb, 7b50
c648, c6c8
bfdf, 781e
c4d4, ba9f
a199, 2ac4
b160, 1e54
afc3, b688
c018, 0ac5
a6b0, fe0a
4221, de2b
bb92, 3e4a
59bc, 87dc
b14b, cb1a
c2c6, 0158
57b7, 79cb
6dc9, bdd8
5f26, e8b5
8191, c8cb
ed9e, 5bf8
3e5d, bb6d
fa56, a254
5626, eb1f
c983, a4e5
4149, 454f
8c39, 74a1
91ca, d577
225f, 70dd
3a7a, 5c11
3168, bbf1
6433, eff9
28cb, de1d
554b, cf4b
7390, 5a13
f62d, 00a4
e526, cd9c
d8db, bbd2
1f42, 1245
1d42, f8c4
1d91, ce0f
58ef, 83ef
382e, 1833
7f39, 0144
cee4, b45d
b88c, 368c
3727, ecf2
c217, a727
6817, d9e5
dfd1, bcfc
5c89, c8d0
16b8, 4f60
2e53, b828
c00c, 21a3
5dce, 5baf
3a6f, 4a6f
b30c, 4c0c
cd06, fb60
9e14, 47a2
e91e, 43c5
c9d1, 7cf2
28e8, a868
23e2, 229e
5f49, 256e
31fe, 721c
3160, 90b4
2b74, 29af
56a3, da13
b228, 9ace
d930, 94b5
abfc, 70f4
413d, 8bdf
2192, b3b1
5c77, 357a
2f18, 02f8
27d8, c849
887f, 9340
0113, e910
d9f5, 8adb
35cd, a159
344c, b86e
ddd8, bdd7
56a2, 8da6
92b4, fa6f
7698, 19cd
4a10, 3610
0f2f, efc2
ff20, ae20
b4ba, b589
a4fb, 6e0d
21b9, 4f6f
4058, 86b4
4bfc, 99ca
d66f, 00eb
c7fa, c28a
5cb3, 8ab3
0d50, ed63
23ad, a1b9
f4b6, 7ea8
46b8, 8523
1282, d93d
553d, 8a3c
fd1b, eb63
0a16, 7a72
c162, 7122
efa7, 33aa
5f07, f375
21c7, aa92
9aa1, abd8
47fb, 502b
37be, ccbc
e128, d657
d6f6, e941
a366, c3b1
7d57, 0d37
d127, ca42
8e65, a82a
293d, 92be
0a27, 0d5e
6d1b, bf79
3478, b478
de01, 40c4
7627, f96f
2cef, 352a
4af4, 2544
957f, a8f5
525f, 7262
98dd, d3dc
2c92, 9af9
4758, 7ef6
9155, 195e
a0ca, cdb1
d899, 02c9
1aa6, 1ca2
c1b4, 145d
c8ad, 5c36
bcd3, bb0f
bd84, 0be4
fba6, 0cbe
7462, 54e2
6c8a, 8259
55c8, 7ac0
b332, d158
222f, 5835
baa1, 35a9
3fe1, 8f54
fa63, bdc5
60d2, cda5
539d, 3331
bdbb, 3d6e
f459, a134
5ccc, 6c08
9891, ca54
3d44, 8c72
e046, 795e
7884, 0123
33f6, b7e8
289d, bda0
725a, 35e1
a0d9, fc20
779c, 810d
97df, 1302
afbc, 708f
77b8, a226
36c9, 1b4d
0dda, 2dd3
4040, 4048
5625, e0af
c2ec, a841
0bd9, b6df
46e9, 13da
cfd9, 9f34
b952, 0835
16ac, 46de
c1dc, 5b3e
d20b, de50
7cb8, fca7
ede7, 30e7
8ea5, b33b
dcde, e3f6
b4aa, 1a96
6cb0, 135a
ae61, ae69
f7fa, 7281
ed59, 5b82
eaed, 72e8
1fdd, b6e9
5ab6, dc6f
c6f3, ff8d
1840, 0940
1613, 6a13
43c2, 4c6c
f189, e1c0
320e, bd53
1ac5, cf58
8dc4, 574d
4ef4, fb04
ba53, 6d95
a0af, b9e9
66c6, b6a8
bac3, c7e7
e3db, b029
702d, 0570
1f6f, 3286
debd, bdb2
3bb7, ebb7
b2d1, 13bb
63c4, 5842
acfa, baed
ee05, 5433
2581, 69fa
0d58, ef50
0698, 1193
eae2, 07b7
da80, 958c
8b4f, e62f
5384, 3334
656f, 8264
6a73, f62e
1f84, a5ca
9d26, e333
b067, d525
58e9, d742
5cfd, 0700
3dfd, 1843
921d, d09f
c5bb, 0c0c
bbd0, 30d3
29c0, 00c3
b0b4, a58e
6b24, 30bd
a375, f588
6dbd, 1cda
8b52, 5d32
1792, 3b7f
94e6, ec73
6265, 1fa2
b045, a91c
1a43, 6462
4b1d, eafe
3aba, 3167
0d5a, 60e4
c49a, d02b
62c2, fa2a
37fe, 768c
f1aa, 15cb
e2f0, a0bf
124d, 3a15
8d71, 0d8d
38e0, f2a6
4324, a5b8
0a89, 8cd1
afa9, e431
ed2d, 4148
ac82, b14e
4c0d, f900
62bb, 1101
4735, 7433
be8c, 63f1
2881, 1faf
01c7, 11d7
ef8c, 671e
6f79, 0b2c
54e1, c3b8
967a, 8204
dc28, 167b
091a, fecc
eda5, cb2b
d743, 736f
b763, 9ba7
c4b1, 0c06
95fb, f40c
6b65, 33bb
ba82, fa99
5385, b049
11f6, 72a1
7117, c1a7
fa15, 421c
d97d, 47df
02cb, ab0e
dfaa, 75a3
bc0e, fbf3
7151, f6e9
2aa1, 3c14
84ca, 3fd1
5f6b, 1f7a
7167, 51b9
e1de, 2283
a76f, 1468
e12c, b566
a3d2, 2355
2148, c6ec
3131, fb18
203c, 547d
17be, 83c9
abeb, 99fd
af94, 269a
3973, be3d
24ca, 9541
06bd, 5de8
796b, 715c
2281, 0b78
94b9, 2b02
2da9, 0aab
7dfc, b084
72be, f3a5
183a, c5c4
f382, 30a8
dd49, a259
df7a, a5a3
0171, ccd7
7b89, 51ba
02f5, 98d4
18bc, f6e5
55dc, 94f4
55af, c57a
6b21, 1965
95c9, 3ad8
3362, 0d25
5fcb, 22db
32ff, c84e
43ed, ef5a
f948, a60a
fdb2, 4864
c7dc, 495e
5b8c, 0ef1
1ea6, 715e
a2a1, 7506
df7a, a5a3
e8ec, df4b
c686, e487
1b51, d94e
2d3d, 5270
f380, 4b80
add7, 61ad
1d8f, 6583
41e1, 69cc
5b76, d735
e39b, 334c
4de4, f854
98eb, 9a98
81c0, b508
2762, 48a8
946f, d978
0898, 3ec0
19bb, 8e49
b77c, fbf8
c0e0, dafe
723f, d27f
dbcb, c991
f0a1, 8e3b
a5ee, a9a6
290d, 488c
6a84, 2686
c0e5, 85b4
3bbf, 8644
0de1, 7631
547d, 203c
23f9, 0e85
980f, 59f5
9b03, 26fe
0e0d, adbb
8f80, 6728
4469, dbf2
eace, 9432
425c, 27d3
5d62, 9988
350c, 4d8c
ec48, 462d
7891, f9b2
9462, cc73
331d, 740f
a601, c24e
5a17, e51a
b3f2, c442
a2d5, c818
6b43, f720
442f, b174
46e5, 9dbc
1e94, f7ed
8784, f08f
2c75, 0838
1c67, 9c66
53eb, cd62
31d8, eaae
94f4, 55dc
1f56, 3388
c660, f014
fe38, 1452
2af0, 08f0
d7db, 976b
19b6, e0d0
8229, e9fa
ec9b, 59b1
27c6, 6736
c263, bb21
ca0f, 00ef
9990, d4f0
2368, 2481
58d5, a6a1
8993, b60f
77db, 676b
b34b, 2c15
bdf6, 0683
2ed5, a5de
ad6b, 01cd
838c, 6b8e
08c4, 769a
c303, 5b02
61b9, 59a4
9955, a9dc
36d8, 663d
39f8, b256
95e7, f451
26b0, 9de3
47db, 276b
9486, 164f
f604, cf49
2329, 972b
db36, 816c
0b15, 24a8
6c84, 3259
d9d3, 42eb
caba, d5bf
728c, 390b
3dd4, 4dad
565d, 7850
fd35, f86d
4b46, df2f
1491, 31e4
1661, 55bf
130c, 32aa
6340, 19de
f626, 4821
27b2, a679
5289, 6534
2697, 0fbb
813d, 5a8b
3a04, 8a47
d6d9, d3ce
d67a, d5dd
9288, 56c9
e4da, 4137
1c85, b07b
2205, a2c6
0e2f, 7472
a90e, 47c0
c30e, 1e95
dffa, 9b17
e179, 3129
53e2, ca41
75a9, fc7f
3be0, 6e4a
89ac, e9bb
de6a, 77c6
6c0d, 31df
a0ff, 97e6
f147, a107
e299, a84e
a533, af7a
246a, 4156
dd73, 3694
c921, a271
96ea, 18ea
50b9, 3ba6
2a54, b7cb
81dd, 3482
5a10, c880
9a72, adfc
dc32, a56f
7115, 1152
0869, 205f
feb0, 72aa
5246, d6ce
3616, 3b40
aca9, 2a61
840c, 1b0f
6f5a, a35d
7610, 56a0
5b16, d935
ff36, 9f06
208b, 55f8
d6bb, e0aa
c851, a0db
8b6c, c822
7c45, 6970
c39d, 6901
12ee, 0c01
08d0, 7d7d
aac9, 6354
5bc3, 734f
946b, 44dd
635f, bf45
3d1d, 4a7d
eb84, 97c1
ad2d, 8128
653f, 1502
e509, 5146
194f, 800a
9f4e, 88f2
e95b, 02b3
4847, d984
d30d, 7114
099a, cd13
b320, 0820
7575, a61e
cc02, 7a56
85ba, 81b7
d4ad, 0e95
a591, 5f39
d639, ba84
1a1f, 407c
56f4, 3d01
c734, d184
f845, 6d97
5496, af45
ddc3, 90c8
df53, afb8
5695, e008
5b88, e70d
b3b7, c9ca
8fc3, 97d3
5791, f131
8459, 6134
15f4, d2f6
c759, d7b9
4d78, fd0d
df34, a5f3
8485, 72dd
3072, 9b1e
3415, f6b2
d030, f3ec
f473, 13ae
2709, 4749
4eab, 253f
8bd3, 60d0
cc9e, a423
1033, ad58
2540, 8f3c
a924, 1411
3692, ad00
1b0c, 3180
ab10, 62c6
bd4d, 708a
d7df, db74
f7bd, b396
d86a, 0b6b
2841, 4f7f
2d5a, cd64
8c01, 2977
a5c0, 1bb6
d972, ba24
b6b6, 436d
2956, 1d6a
00cd, 5203
4ec6, 9021
0aac, 877e
81a1, 7539
d223, 22c0
1dfb, cd0d
e8cb, b7f2
99d9, 3776
47fc, 290c
2be3, 8bba
81a9, 1177
6024, 8b58
565a, 2c04
ced7, 61ee
ea6b, dd59
06ca, e84a
d86a, 0b6b
4053, 2d83
7c63, 9ca9
667c, 3f01
9e8c, e61c
bd11, 06c0
ed6d, ef63
4ba3, ba90
15f9, 76ef
89d4, bcaf
0c8b, 58f3
7558, 1364
6c39, 3cb4
72c9, c696
71cb, 3ed3
4e6e, 4fcf
da64, 4a56
8739, 02ae
5ceb, 313c
c7dc, 495e
c84f, 1091
9a81, 32d7
1958, cc8c
6aa6, b5c8
753c, 3483
3f56, 6e7d
aa93, c2cd
563c, c67c
dcca, bb86
3ea8, be88
e518, 161b
7a11, b80d
f8e4, 4d54
8144, ce1b
5b6e, a852
219c, c94b
0e82, 8fcb
17cf, 6962
109b, 0e0f
598f, 4338
e7c1, e477
493c, 277b
217d, d1f8
abf4, 9269
d4c2, 0dac
35d2, 750c
a530, 6348
eae2, 07b7
ff02, c647
3a4d, 620b
2504, 6711
4514, 85aa
0ec0, e5e5
f25d, 62ed
0710, f9e1
2f78, c23b
943f, 5fe5
8718, 1669
5de5, 2647
786b, a8ce
9787, d34a
edec, 7841
dd87, b78d
b978, 63a0
7041, 0e27
6470, 3c43
4510, 8f31
5816, 1b7b
d034, 1aba
6d07, 39bb
1b63, bd69
d737, 94a3
cbc1, a29d
c91b, 00fe
46ec, b4fc
9b8d, 1e3d
d3be, a355
3290, f69f
0993, 2b68
defa, 29a2
ed3a, af10
cc68, 3716
bcbf, 6484
e4b2, 3e30
37f9, 6258
334f, b392
ed94, 3b44
4367, f617
d053, 306a
cf46, 29d3
85d5, bf77
c483, b305
5eea, e80b
5cb5, 3e11
5b64, 5bd1
e0ac, 53f1
fa70, 0cd1
fe9a, c2ed
6cd5, 1bd6
6fed, 61b1
3627, 6f97
a42b, 7bf8
4911, 1e7c
b442, e37d
1eda, 69df
0bea, b63a
4516, 2a1f
affb, 720c
7d23, 4928
f790, 1e19
507c, 2c05
1946, 38ca
a4bd, d5b3
19b0, 8b26
8fb8, dd68
7840, ef8d
3d9d, eb4d
36ab, aec9
0534, 5c6d
df5f, cbe1
dbae, 06cb
c096, c12c
3ba0, 546f
8f21, cd90
266c, e667
3f07, 00cb
139f, cbf1
d71a, e65a
8386, 79a0
3dc1, b891
ae5b, fc32
d9e7, ac51
9f66, 3918
9498, f863
cff2, f998
acc2, 0c6f
2eeb, 4240
040c, f3fd
8b69, 51d3
cbce, a494
42dc, b8fe
1f5b, c751
8ab8, 5168
5440, 66be
bbbd, 56c4
dd5b, 0337
146e, e22e
817d, 0c69
aa7c, f7d9
fc8a, ae88
5979, c939
8ad7, fd53
a95c, 13f7
136d, c8ac
df2a, cd2f
5fe1, 5b2d
c30b, f4a4
3692, ad00
dd8c, 7881
9ee8, 08b2
b614, 3990
8b62, bf42
62b4, fbee
3f89, 35e8
6f3f, 774f
440f, ca01
16e8, ba89
f297, 67e4
6759, f8cf
ff3b, b2cd
7dc4, 5894
56e7, 8be7
9110, a0ec
ff8c, 3a40
e829, 586e
c1eb, 9c3e
a547, e836
766a, e0bd
858e, 5345
dc4a, 9a4a
1807, 6ddc
768b, 69ef
58e7, 5020
7d22, 8ebd
8708, 693f
5809, 8ef2
2d75, 140f
74cb, c00e
eff1, fe1e
e6fd, 860c
f8e8, 1c34
c90c, 701c
7b71, fb92
0541, b202
4c47, da41
f465, 7b7a
9382, f657
2b4b, 260b
5200, 7020
cff1, 1780
bd2c, e94d
a422, 87e2
ef4e, e9e3
1360, 5532
6f81, 1f0b
9aae, e9dc
766b, 007a
ffa1, 192e
fb35, 0cef
1d27, 9dc9
9acd, 2330
2d9a, cf44
5f4b, 5f3a
b308, 0f05
edc1, 590b
8e01, b009
8078, 5675
d33c, e387
2063, 0c90
e9fc, 0d65
b96a, 3186
bc7a, 2972
b8eb, 3d5b
2c3a, a934
ec66, 7cb7
be65, be6b
c26e, d739
ef86, d249
9d1c, 6881
24ba, 4c56
26b2, 705c
c450, 9b9a
3290, f69f
badd, 4212
2119, 5ca8
ab59, 2ee1
ee9d, ef51
7eba, bfd7
86f5, bb4b
5db0, 5868
d797, f8af
87fc, 93fc
770f, cc80
cabe, adc9
25fe, 259e
f9f2, 630f
3c32, 7ae2
2f53, af68
c35f, 5963
4ad9, faa7
2745, 4356
043b, 2d37
8753, 613c
2baf, 4f42
b82f, 03b3
9c66, 1c67
cc1b, 5f8d
e4ca, 5a99
d2e2, 00a8
47f2, 04ab
ca04, e3f3
92b5, ffff
ca23, 47ce
9ea0, f0d8
9740, d200
e37f, f26e
2334, 23e5
23c7, 2e29
08e8, e8e8
ac54, 2df9
8ad4, 9ac7
0158, c2c6
eb7a, 12eb
73d2, 122f
153f, cb1e
0977, 20fb
9058, 2688
84c2, 3ea2
b950, 3768
38b2, 8904
ef60, 76b8
a50b, ab50
3ff5, 7f70
5877, 8e14
4061, 40e9
649e, 849e
3235, 6f7b
bfc8, d3e3
2174, eab7
5930, df57
cc2f, 71bf
9027, 93c6
9604, e655
8b6c, c822
6d9e, 1af8
a3ee, d365
0526, aab6
f536, 12ba
bf36, 7f82
414b, fc2b
25c8, bf35
c58a, 32f1
ec1e, 102b
a2cf, b9b2
8194, dbf5
42cb, 9f65
be1e, 7588
6a5a, d383
894e, 7033
ad18, a526
ed80, 78fa
dac1, 5567
7070, 6f22
c8c0, f87d
bbac, 7e97
3eb1, 8867
3ddc, 9fa6
1dc5, 8470
4c05, 8efc
0a74, 2aa2
5168, 8ab8
19f3, 1d9a
b2a7, f3bc
02b8, 595b
7d8f, a360
a2bb, e641
d8cf, 9b99
d110, 2cf3
c024, 28b6
998e, eca5
ebe5, 50bc
90ba, eab0
2bb4, c8de
9a97, d2ca
525b, 4e85
6b07, 81b3
20b4, ca45
e366, 43de
c36c, b7b1
3ed9, 4eae
40e5, d0ee
6a8b, 5538
0a3b, 4496
601c, 173c
c9bf, 073d
c533, 58fa
45b0, bb73
fece, adc1
ea7f, 955d
537c, a9ee
085a, 16fe
08c0, 632d
e631, 8084
80fe, 7b4c
8f6e, 6f55
0c6f, acc2
855a, b2e4
93ba, b08b
9d94, 1844
834c, e34b
aaf4, 5ef3
04b8, e7eb
2070, c731
ea3a, bc02
4e19, 60ce
f62d, 00a4
517e, cb7b
0a02, 52b7
8927, 51f2
b0ec, 9bc6
f6ce, ba73
6b07, 81b3
3627, 6f97
0332, 6f95
f440, b5fc
0a7d, ad1d
7e67, 9592
669b, 7d84
d470, bd75
6c94, 4a55
db06, c3f6
1310, 2b4e
2744, db64
ae5d, 0ee4
af9c, e59c
5ee4, e67b
8ae6, 35b1
972c, 2326
bcf7, 7c91
8e7e, 2dff
3c1f, 3d4b
1924, 4cf6
6485, 3606
8fbc, bfbb
041e, bb02
8194, dbf5
b0cd, 773c
c128, bdc8
bb98, 17cd
0b50, 7789
5cb2, 2c62
896b, 6806
aaaa, 73e0
4464, cb65
057e, 17f7
f589, e7d4
27d8, c849
52a6, 747e
1017, f74d
a77d, c1f8
db9c, dd0b
b6fb, eb4e
d0d8, 3493
89dc, 57bc
792c, e761
e675, 0392
d900, 483b
2d36, 8989
0ad8, ada2
971d, 1178
1d43, 0c43
6b3a, 0d0b
7da5, bc1c
9f43, 3d0d
e77a, 52c7
ea29, a69b
e882, 3f48
b9cb, 9ce1
1446, 3a5b
22e3, 8049
1333, f4ef
e811, 331a
50f7, 3b91
725e, 3522
bef5, c233
ea48, 5a4d
e87a, b809
3c21, 75c2
8aec, f499
e22b, a018
f06b, ce8a
49c2, 5876
da3f, d539
cce4, 1f33
6437, 6440
d7d9, 37c9
16b4, 2c66
b732, 3903
74c3, 86bc
1a1d, c4a6
e72a, 322a
c462, fd21
d23d, 41ac
607b, 113e
b893, 6af7
3a02, 5a9f
4c2b, 4c95
5bc4, 5b58
788f, 6f86
55dc, 94f4
f422, b8b9
db8f, 20da
f154, 928d
5136, ec52
cf5d, 71a2
7843, 832d
6d6f, 2e60
75ec, 5e93
86f4, 86ff
99cc, d329
f5b1, fd49
1c9d, 861b
be76, bb3e
393c, 6c3e
6d3a, 7b5a
0a84, d405
7ce7, fde6
3926, c986
9cb6, 11b1
a631, 988f
f982, c338
0184, 9383
a433, 6e05
72ce, cd49
6300, a20b
a11a, 6772
1a9c, fa90
f4ba, 1539
b985, 8e06
5fde, f6a4
b27d, 8193
f3aa, b9a2
6de0, 9a23
31be, 5c3b
60ba, a2de
47bf, 392f
f128, d915
55a1, 1c42
fb7d, 44c9
4713, f9f3
b3bd, bbed
b68d, 8748
456c, c1d3
0368, ca1c
c509, 9c71
a5ea, 9d21
7dc3, f748
521c, f013
4a70, 3f87
cc6c, badc
9312, feee
60df, 2fdc
75a9, fc7f
e4c0, 04c0
f13f, f9d4
214d, 684d
1526, 3cfc
627f, 7d99
107c, 8c75
c84e, 32ff
e580, 3a8c
56e9, 5b3f
479b, 457c
6e7e, 7533
4250, 3f2e
965d, 1850
7add, 7ffa
b4ff, 0591
2616, fcd0
f0b7, 174c
f2d2, 05cb
444c, f54c
8bf3, 6d54
4691, 5038
bcfe, fac9
dc87, a008
6f85, 2a28
dc77, 21ca
8b9c, 8c6e
a6c7, cca0
6d11, b67c
5a71, 25d7
6c8b, 3958
4fc4, 4ed3
cf8d, 0a13
eb04, 5d47
095e, eb99
83ad, b1da
2a06, a4c4
6411, 79c4
3147, cf2b
e410, 4b5d
efb1, e721
84ee, 3438
7a92, 1b25
fbaa, 779e
6626, 3fd0
2072, 5388
1d8b, 929b
215a, 649a
c9a6, a2b5
78c6, 777e
484a, f64a
5f1c, 8e10
7dd4, cdad
00c9, 1bd7
518b, 3c6e
eb74, 544b
fc45, 172c
a3cc, 4414
a705, 49cd
5614, 5688
96b3, 85c8
0026, 33dc
e15e, 7550
589b, ca9b
e7b0, 32b0
d2af, e212
8cff, 3af9
be17, 0ec7
a336, 4306
85b8, 3c76
0ffe, c958
9c7d, ab5c
207a, 27a2
18a8, e7ea
515b, 818b
e35f, 2446
bdfa, 4625
8f8d, b728
98fb, 7b50
7966, 90d4
a0b5, 4a52
52a4, f9a7
1996, 869c
5a96, e4c4
aafb, a0ed
89d1, e50e
e957, 9851
58a8, cc7c
1d95, 672d
3b30, 4861
4ede, 5e69
30e4, af70
d76d, be82
f151, f6c9
d576, c8f5
176c, 8399
272b, a1ce
07b2, ba58
d802, 26af
2324, 927d
45b8, 2c76
8483, 32e5
45b4, 455f
a383, 1982
521f, d4df
9a73, 5cd6
550f, 8ea7
1db1, 32b9
42ae, 5325
5f70, 8f7b
fe70, cf1b
33b0, 062f
99a2, fef2
6ead, bb88
591f, 8297
9d56, 1eaa
fc3a, 1858
a682, 171e
39fe, f31e
0747, f516
8d7c, 114d
9be4, 13ef
408a, 8b33
ae3d, 67e1
f833, 882e
afc5, e8e5
a7e9, 2769
aac6, 6ee4
42dc, b8fe
6a7d, 840d
9eda, 63ad
1a64, 9d44
4e08, 0817
70d0, b72e
7e28, 279a
e6dd, 8671
dc1e, 634c
3ab7, 8a59
5d7e, 8b18
3248, d0a3
784c, cac7
338e, 135f
5535, 9246
a35c, 1734
def3, 0f21
ae66, ae67
852d, 8593
6cbc, a7be
5e63, e9a9
b10b, 0adc
1788, c43e
25ef, 4967
fd5b, 1d5d
ad8d, a54c
3073, e67e
4791, 7131
6032, 5cd1
b7ec, a0d7
eaea, 519e
bb43, 1720
2db2, 7eee
5dfe, bb34
add7, 61ad
304e, 5b05
6e36, 03e9
9ea9, bbab
2050, 035a
b7e4, f247
347a, 3227
8d29, 3d72
e6d0, dfa2
0841, c31e
5e06, d1a5
9d35, dd53
cb52, 08b9
18dd, bde9
3064, 2b58
0c05, a781
82a7, 12a7
db95, 137d
aeec, f934
7285, e806
9b1a, ace1
e1a7, 1b85
7f62, 4358
c24c, 7ab7
2c1d, 988c
1d1e, b357
3330, 37df
66ad, 3f8d
0a6c, 00d1
de7c, b924
662a, 50b3
ce55, 23be
9a60, b62e
7306, 9958
761e, 24df
f205, ab97
e869, 6673
e519, a496
e295, 9adf
bd07, ed0f
e29d, 3865
713a, 4388
7db4, e3e8
fdcd, 7ba4
ed64, 3da7
0c0b, 56c7
bb79, 89a5
5b6a, e0a7
4e1b, 9144
ca73, 661e
6d6a, 4f23
1923, 11fe
46d1, 4ee7
2bec, 627b
3daa, 96dd
3128, cd2d
a716, e786
ded4, f462
a4af, 70e3
0ba9, b6af
9459, e178
d2a0, 42db
d1d0, 42a2
5213, 4815
fa3a, 44eb
44eb, fa3a
3786, 0a85
13da, 46e9
e84b, 249b
8f9b, 150d
09f7, 5595
ca38, c874
88bc, 66b5
693d, 3b1a
79cc, 52b4
4ef5, 2345
9632, cfd7
0ef2, 7899
16f2, e9fb
2bbb, 9038
1282, d93d
5e80, f966
1dd7, bf8c
bee2, 6f4e
147e, 147c
edfd, 3d0b
1c6a, bc24
5876, 49c2
7267, ac02
d4ea, 23f4
d10d, cbdd
1375, 8905
10cf, 1cb8
9208, a05a
8546, 3149
6983, 7485
547a, 8e6a
8257, 4bd4
1352, 4b5a
dc03, 91f3
ccd6, da61
d7c5, 9606
018b, 33f5
8deb, 685b
6405, 321e
1cce, 9876
8873, 4e68
1f60, f685
6b9d, 7d0d
3824, 3112
4324, a5b8
f6d3, cba5
83c3, 4720
6aa7, 8ad9
df05, f2f2
ec40, ea84
5891, 7719
0676, 2479
8093, e648
278f, 09f8
d049, d0c1
d8a0, 21e2
ba7f, f5a2
8a55, ac47
a03b, 8357
68d9, d793
ede6, 508f
2170, 4f8c
4d70, f023
c8c9, 04c6
3696, f89e
afd8, cb5f
e193, f7d7
e88a, 5f9b
