1f1d, 4f10
d142, 9a92
bd1d, fa7d
1d10, 9878
a48c, d4c9
bbd6, 0da2
4822, 4865
dae6, ea21
c6a8, c6a5
0027, 1354
02ad, 632d
8f3a, 5fe7
bea1, 0367
9e1e, 877e
5802, a2a0
523d, bb43
2ef4, ab04
3d0e, edf8
0664, 1b60
3737, 47f7
b3ae, 1ba6
67d0, a59a
0c64, 0e22
2c49, 9106
0710, 7cf3
9bf8, dd0e
33df, 2817
1c39, 0c96
de9e, eaa5
97a3, 1358
3bd1, edb1
79d6, ac48
f397, 9346
08ed, ef53
3734, b184
cae2, a464
1a22, b294
775b, 57b5
3122, c0fc
0bfc, 8b98
d1ba, fda8
a949, 80fa
0bf9, 70ac
4830, dfec
a080, fa4b
370f, 4f48
44a7, fad9
f33f, 8e38
77aa, af6d
967c, e57d
0408, 20a5
020a, cc22
d11d, 9e8d
8769, bfe8
ed22, 0f4f
c5b2, 1c66
ece2, 9127
311c, 401c
863a, 86e7
5d2e, eb22
2e41, 1a7e
6844, befd
0770, 0cf8
fb1f, 4fa5
3723, b9c3
f54d, 9490
9ba3, 96bf
2b68, c950
6d98, 5ca0
0d87, 8d45
558f, 18a0
3e7b, 7f03
4167, 91e9
d58a, e7b4
88b9, ddf9
37ba, f12f
0f25, c368
4076, e8d0
6623, 1ca8
23f0, 58bb
ed19, affe
061b, 7c60
ef60, 08b0
8ace, 66e5
1b2d, 68d3
bf5b, 349e
a212, c659
68c5, f926
47cd, 2874
4f49, 1fc6
3052, 308f
4376, 6b28
211c, 4c7c
780f, 84dc
ff94, 65d7
9249, 1591
0077, f1b0
ab31, 4793
7e96, 6309
8b35, ebc1
ab2d, 0c2a
0503, a608
e9d6, 9726
6178, 0254
6617, 148c
7917, e104
cd0d, 5ba9
92eb, 4962
62e4, 1437
a77c, 6f15
9b2a, a076
c91b, cb37
ee60, 40de
845b, 67a8
82f7, 586f
527a, 8277
e7a2, 1efa
3fd1, eeb7
0125, e92c
39f1, 4273
e674, 56a0
c04e, b484
b00d, 6684
62b8, ce6f
f5bc, 5ef4
fcd1, d866
1584, af99
0dbe, def0
cd5b, 4af3
fffa, 544b
5ff6, cd0c
e2f5, c889
bf44, e1a6
924e, 87e6
c1bc, 1011
0094, f4f9
e269, 297f
dd1d, 7af2
c847, 771f
b975, 56db
b2eb, 89fe
1098, 1618
62ae, c086
693c, 3e85
a2c5, 08d2
e1e0, 5da9
bee0, 33b8
48ed, fd5d
81a0, dd36
6d69, 8a2a
4717, d5f7
3ce8, 69ab
5ef8, e35f
af59, e9a8
a10b, 9143
2f94, fbc9
c1f6, 0039
a08b, d5f5
133e, 4980
9fc4, 1dcf
4ece, f56b
2b45, 40f5
fda5, a0be
f4a1, ce3d
b25c, b91e
df23, af28
a804, c834
cfde, 08a6
d28f, bf40
a4af, 6f9d
f72b, 43e6
4468, 2e22
253b, 4130
cb31, 2705
e5e6, a8dd
993e, d755
f485, a283
f1b4, efeb
a2bd, 1960
dedc, 7bd6
5b54, 2214
4065, 32fe
f29c, 459b
3ef6, ec5b
d68e, 5db4
507c, 830c
65b0, 6baa
8d5f, 5052
596b, 5396
9043, dd43
c07f, 44e1
2032, 8287
3fdd, 8cc3
4180, a702
78d1, 63da
d8c0, d640
2cbf, e128
ed7b, 1d80
488c, f68c
7bc6, 8eac
15c8, 9784
56b1, 80d1
159a, 889e
c10c, 1c4d
d44d, 994c
fecf, c2b8
6332, 68ef
9fe3, a108
06ae, 7d76
0d00, 66fb
e374, e7f2
2fd1, e57e
5931, c8a8
5867, eed4
12d1, ff50
0ee5, e3b5
11ac, f077
c9e5, 148e
765c, de7e
acad, d313
b298, 32c3
d639, 8cad
fb6f, 05b8
df8f, b2d5
5dbe, a318
14e1, 3ccb
97b2, 425c
6a81, 8281
1d8c, 9f8c
b7a9, 3754
3ec9, f9eb
d6b7, 15f8
fe75, ff84
3220, dce7
ef56, 3848
33f9, eaed
ccc6, f904
4591, f31c
01f7, b197
ada2, fc7b
b55a, 2e84
3dca, 6476
262e, dab5
365e, 8d6c
436b, f065
b4d4, ac46
974a, 7535
781c, 6310
6518, 6508
0099, 01b5
2109, 0fb7
ac78, 2970
ef09, 048e
422e, 4487
9dce, 1845
3756, 4835
a07f, f629
45c4, ec52
87c8, 67c8
8824, e0a2
997d, d751
48a7, 2cce
8f45, e733
ef6f, 32f7
6941, a461
ad1b, 2f15
93d6, 1bd7
685f, b382
d0fc, 5a47
8791, a131
3402, 8449
8d3f, e039
20fc, c37d
e20b, 9300
1967, c984
0148, f207
fd16, 4f11
9cab, 170e
e675, a4ff
8d2a, b71f
5874, 500c
cd36, 875a
681d, 5ce3
ed5b, 95af
8236, 28e3
e4cb, 9c54
0e2a, bf2a
4a33, 729f
1eaa, 726f
3bca, 30bd
febd, 5189
777a, e1f1
8a6f, b868
68d3, 1b2d
abbb, bd60
4f7c, ec91
5ef5, b81b
284a, 1b26
f3cb, 3a97
c16d, 2db5
328f, ba84
ff67, 79b9
5b5e, ddea
e21a, 3411
2d60, 40bb
86af, 86b9
f4e5, c938
d4d6, 6d18
8874, 6874
07c7, 181c
04b1, a360
539a, 0050
760c, 0de4
61e8, 13a6
e31d, efcc
bc3b, 0c5c
45ce, f5cc
e0ce, 3ade
8a3c, e802
22df, 4213
5046, 5a63
a5fa, faf1
efce, 22c5
6e41, 1c55
3b44, b34f
2cdf, ab02
fae1, 4829
7e59, aa3c
754c, d3f0
3a6c, a222
1ec8, 86a3
7336, b3e9
ccf5, 6f7e
b4da, 3ce2
a32d, b717
8c52, 67b4
7e1e, e78b
d3a1, 1371
7d72, af3f
5140, ce40
323f, 0a3e
b414, 64c7
714c, 5a62
be66, 7c83
ce35, 3e66
8dbc, 36e5
3702, 4843
3d2c, 9e3c
9efb, 870b
c205, c358
45b5, eb7f
6b86, fedc
e936, f21d
2e49, aec9
8505, 0cdf
d89d, 374d
31dc, 9b86
777e, f164
1496, f202
5f7a, 8f77
3632, 5036
85fe, 71df
128b, bd17
0928, ae2f
9a69, eb80
ed04, 3b0b
7659, c688
4558, 2c53
07ad, 8852
e93e, 7e7c
e143, 19a1
79d9, 6558
27d6, 495a
2693, 4098
e977, 847a
87ec, ddaa
2907, d05f
c89b, 0c09
573d, 6fc3
fcb4, 097e
7dd9, f1d6
e4c6, 821f
0170, acd4
5901, cc31
c980, ab1d
aa33, aa7d
3d30, 8fdd
5e8f, c1fa
0812, b3fc
b30b, 787f
42e0, a04a
06b2, dad7
c60b, 1b00
fb53, 7c89
79bd, 9999
45e6, d9d4
5627, 56ee
ff7e, 0bb1
1cc7, eca9
0490, 7528
582c, e310
03db, 00f9
8764, 11c2
8d9f, eb66
6c22, 7c76
836e, 10c7
ff9f, 4fc2
51d3, e5b5
d9d5, 4763
6a7b, cc7d
1319, ef8d
cf8a, 6677
249e, 05e7
1308, cf05
c3d7, c27d
0a63, 9e6a
f7e9, aae4
c92a, bfa4
10d1, 4ea6
bb14, 4318
f18e, 1b09
a4db, 55ec
999a, 72a5
4320, 9dfd
be36, e320
c93c, 23f9
80d0, 3b83
ad79, c1c8
376b, e7db
4906, f14a
9cc9, e044
289c, 524b
334f, 5694
8717, 38b1
7919, cf97
6afc, 82fc
f96b, 2cd5
28fd, 2362
5b3b, ae77
736c, 0b5b
c6f0, d28e
3f78, 5472
da40, c240
338b, bb85
fa45, c032
60bb, 10c1
ebfd, 5792
f2a5, a2f0
9896, ff29
bcf2, ac12
ace5, 1311
6480, 4375
7a22, 458f
a30f, c452
83f7, 6e76
9b9f, d268
6eb7, 19c7
fcc8, c612
05a7, 0819
236b, 91d4
99b8, d9a5
e165, 79e5
8be1, ff2d
656e, 1daf
c183, c1a1
e925, 0745
4218, d484
3143, 9b20
7c65, 0e41
d245, a6e1
b155, 7fc8
794d, 1797
e856, 8843
d86b, 7d69
7921, 6711
ff6d, 09d4
870c, 239b
ce45, 13f5
c41e, be78
a55c, ac8d
8570, 461d
5420, 8a9b
814d, 3920
e265, b716
a50c, 8e54
ef31, 5f9c
debf, a6ac
7a61, ad17
43ae, 9780
4183, 6f8f
a830, 728a
2f05, 8c3d
9c16, 0435
732b, b37c
f7cf, cd86
b30e, 21e5
69ee, 0735
0f7e, 220e
5deb, c313
ac3b, fc5c
15e9, 1261
8913, 67f3
7ab3, f0bf
8252, 626f
a339, 896e
eb95, bb40
75c7, dfce
c44c, 0a7a
9a38, d46b
b834, 4d3d
054a, f238
38b7, 8971
1bb7, 9b69
1591, 9249
a276, 3230
846a, 2beb
42e3, 1209
3195, 3c2b
2366, ab67
5a78, dbae
83ab, 70c9
3ab4, 8c56
a39a, 7ba1
42da, ea24
0fa9, 2f3e
4110, fdeb
54a3, 0d70
07dd, d74f
4364, 7568
e99c, ffe7
206a, ec6d
83d8, 6ba0
3569, 60d0
d062, d75f
44d1, 99d4
1310, 9c01
60a6, 7da2
3098, 000c
a85c, b4f1
76fe, a505
7c8f, f685
d028, e1a8
8231, db3f
c53a, 520a
9195, d195
116a, e6bb
1bb0, 60ba
9879, de26
f843, a343
ece3, 3ae3
8db1, 30b7
5d7e, ebc2
8b1c, fc9d
4129, 2179
f0cd, bfa0
7bce, 3815
ec84, f7aa
93de, acc3
d6a8, 12b3
2dbb, 9bac
b69d, 0090
1f74, 155e
8643, 5b43
a152, 095a
7766, 1f61
28c2, 4e26
adc2, a644
8a81, b490
30f7, bef6
3413, bdad
82c1, 3142
a1ad, cb10
a43d, d573
8d4e, 0631
f82f, 32a6
2f82, 02d8
a899, fd04
c7f7, 0401
df17, 2eca
e9d9, 86ca
d6d9, c836
27ee, 473e
472c, fc25
477e, 41ac
8530, d34e
6d7b, affa
9906, 114a
99e2, 6922
9411, 3d81
8b03, 6b51
9d0c, 85f7
7177, df96
be34, 4dcd
ea25, 7d99
e389, 046c
ecca, 6b62
9c8c, 57db
75ff, acc2
635b, 33e5
de8c, 933c
20d0, d0bc
e06f, 9ab8
1dba, 8ac3
02c3, 3d65
45a3, aef5
22d0, 83cd
1064, b0de
9d60, 96e8
1201, 074d
f4b2, 1f54
d256, aa6b
e855, 41b2
1fe8, 17f8
5544, 409c
6df7, eb9c
e51c, 9b10
4277, 8637
e40f, d51f
2351, a057
4896, ffc9
9dd7, 1051
a12d, 6a2a
b30e, 21e5
5a2c, d62c
277c, 6bc5
6f25, 34ed
3307, 603b
d618, 2a3c
7849, d25e
ea1f, 5022
72f9, b89e
4ad2, 5525
3013, 1893
16db, 9694
61ed, b9b0
ea30, 807e
2bcf, 0e53
163f, 1776
ac3d, c55c
4b8e, dd55
68f0, 9af0
fa64, 34c8
67a9, 8754
4b26, 1b96
e7e9, 0ae4
01d2, 827c
40d0, 2d58
e0d6, c803
d7ab, 9158
8dbd, abdd
ddba, ceb6
c247, 55e7
2026, 8fdb
bfef, be3f
bc86, 35da
3746, 2a5c
d77a, d810
4c69, 7383
b852, 633f
8b43, 00fb
11be, 2abd
